iter	Passed	Remaining
0	52	10537
1	59	5917
2	65	4287
3	75	3680
4	81	3181
5	88	2856
6	94	2618
7	102	2456
8	109	2326
9	116	2204
10	122	2105
11	131	2067
12	139	2004
13	145	1939
14	152	1880
15	158	1826
16	165	1785
17	173	1750
18	180	1717
19	188	1698
20	195	1668
21	203	1645
22	212	1637
23	223	1642
24	231	1618
25	237	1591
26	246	1576
27	252	1552
28	261	1542
29	270	1533
30	277	1511
31	284	1491
32	291	1474
33	299	1460
34	306	1446
35	313	1427
36	320	1411
37	326	1393
38	333	1378
39	343	1375
40	351	1362
41	357	1345
42	365	1333
43	371	1317
44	379	1308
45	386	1294
46	398	1296
47	407	1290
48	415	1279
49	427	1281
50	436	1276
51	446	1270
52	457	1267
53	468	1265
54	482	1271
55	498	1280
56	508	1276
57	520	1273
58	530	1268
59	538	1256
60	546	1245
61	554	1234
62	562	1224
63	572	1216
64	580	1205
65	591	1200
66	600	1191
67	606	1177
68	615	1169
69	623	1158
70	632	1149
71	643	1143
72	650	1131
73	659	1123
74	669	1115
75	677	1105
76	685	1094
77	692	1083
78	704	1079
79	713	1070
80	722	1061
81	731	1053
82	739	1042
83	748	1033
84	756	1022
85	768	1018
86	780	1013
87	791	1007
88	803	1002
89	814	995
90	826	989
91	838	984
92	854	983
93	872	983
94	884	977
95	896	971
96	910	967
97	922	960
98	933	952
99	946	946
100	958	939
101	966	928
102	977	920
103	986	910
104	997	902
105	1014	899
106	1033	898
107	1051	895
108	1066	890
109	1082	885
110	1094	877
111	1106	869
112	1120	862
113	1133	855
114	1145	846
115	1158	838
116	1168	828
117	1180	820
118	1194	813
119	1205	803
120	1221	797
121	1233	788
122	1246	780
123	1259	771
124	1273	764
125	1285	754
126	1296	744
127	1304	733
128	1311	721
129	1319	710
130	1331	701
131	1341	691
132	1350	680
133	1360	670
134	1368	658
135	1378	648
136	1385	637
137	1393	626
138	1403	615
139	1410	604
140	1418	593
141	1426	582
142	1433	571
143	1441	560
144	1448	549
145	1455	538
146	1463	527
147	1470	516
148	1478	505
149	1489	496
150	1500	486
151	1508	476
152	1515	465
153	1523	455
154	1530	444
155	1538	433
156	1545	423
157	1553	412
158	1560	402
159	1569	392
160	1576	381
161	1584	371
162	1592	361
163	1599	351
164	1606	340
165	1613	330
166	1624	320
167	1631	310
168	1639	300
169	1650	291
170	1661	281
171	1670	271
172	1677	261
173	1686	251
174	1693	241
175	1701	232
176	1709	222
177	1716	212
178	1724	202
179	1734	192
180	1743	183
181	1751	173
182	1760	163
183	1767	153
184	1775	143
185	1785	134
186	1793	124
187	1800	114
188	1807	105
189	1815	95
190	1823	85
191	1832	76
192	1839	66
193	1849	57
194	1858	47
195	1866	38
196	1874	28
197	1883	19
198	1892	9
199	1899	0
