iter	Logloss
0	0.6892557035
1	0.685733944
2	0.6824501144
3	0.6780455088
4	0.6742447983
5	0.6712770938
6	0.6680016785
7	0.6650927905
8	0.6622492953
9	0.6592788122
10	0.6565567149
11	0.653742818
12	0.6514252591
13	0.6491783156
14	0.6469615196
15	0.644198633
16	0.6420889356
17	0.6396700771
18	0.6369187697
19	0.6346931273
20	0.6323530635
21	0.6300773156
22	0.6280015829
23	0.6261378738
24	0.6241728338
25	0.621956504
26	0.6199542261
27	0.6177578777
28	0.616307449
29	0.6135597612
30	0.6119116211
31	0.6095815887
32	0.6080530391
33	0.6064067878
34	0.6045878648
35	0.6030110927
36	0.601485502
37	0.5998515509
38	0.5985481658
39	0.5970292898
40	0.5957637847
41	0.5944536127
42	0.5932575978
43	0.592088257
44	0.5907443468
45	0.5894941681
46	0.58805995
47	0.5870831768
48	0.585815666
49	0.5846514879
50	0.5834900054
51	0.5825859541
52	0.581255939
53	0.5798239089
54	0.5787791198
55	0.5778213775
56	0.5767178635
57	0.5756694174
58	0.5747728912
59	0.5737948516
60	0.5725174216
61	0.5715052597
62	0.5705806564
63	0.5698586388
64	0.5688637607
65	0.567951696
66	0.5670555412
67	0.5662162968
68	0.5654410679
69	0.5645668029
70	0.5639220369
71	0.5630552885
72	0.5623192443
73	0.5616130164
74	0.5610429915
75	0.5603408315
76	0.5596258094
77	0.5589892601
78	0.5584904412
79	0.5577401143
80	0.5570549239
81	0.556357734
82	0.5557585223
83	0.5550957315
84	0.5546076509
85	0.5539373901
86	0.5532499469
87	0.5525895851
88	0.5521656477
89	0.5516739272
90	0.5510797368
91	0.5506248314
92	0.5500823015
93	0.5496472715
94	0.5489323262
95	0.5485307411
96	0.5480399852
97	0.5474573309
98	0.546786697
99	0.546311917
100	0.5458822759
101	0.5453901899
102	0.54506463
103	0.5445075894
104	0.5440291425
105	0.543597111
106	0.5432223357
107	0.5427712077
108	0.542368918
109	0.5416485212
110	0.5412217428
111	0.5407555282
112	0.5403126455
113	0.5399650424
114	0.5396255467
115	0.5391455898
116	0.5387351524
117	0.538404423
118	0.5381458695
119	0.5377180042
120	0.5372020401
121	0.5368727017
122	0.5365667069
123	0.5362997241
124	0.5358866285
125	0.5354709994
126	0.5351303355
127	0.5348140626
128	0.5345300299
129	0.5341629786
130	0.5338565923
131	0.5334990908
132	0.5331712539
133	0.5327611914
134	0.5325449389
135	0.5323368358
136	0.5320326782
137	0.5316387617
138	0.5313404455
139	0.5310319417
140	0.5307448704
141	0.5304933774
142	0.5301894706
143	0.529947767
144	0.5296356576
145	0.5293858886
146	0.5291509213
147	0.52881632
148	0.5285118698
149	0.5282258665
150	0.5278934955
151	0.5277057636
152	0.5274595407
153	0.5270036498
154	0.526755436
155	0.5265988119
156	0.5263277432
157	0.5261316019
158	0.5258456359
159	0.5256477895
160	0.5254506967
161	0.5250837445
162	0.5248448953
163	0.5245143762
164	0.5242942335
165	0.5240608558
166	0.523898863
167	0.5237680935
168	0.5235359399
169	0.5234151033
170	0.5231885109
171	0.5229869163
172	0.5228135078
173	0.5225846356
174	0.5223903278
175	0.522168869
176	0.5219799506
177	0.5217739135
178	0.5216422351
179	0.5213773737
180	0.5212500629
181	0.5211202842
182	0.5209527006
183	0.5208252034
184	0.5205983834
185	0.5203210363
186	0.5201852626
187	0.5199346394
188	0.5197499876
189	0.5195172188
190	0.5193502815
191	0.5192528637
192	0.5191243936
193	0.5189023026
194	0.5187592137
195	0.5186308043
196	0.5184316143
197	0.5182904604
198	0.518041613
199	0.5178840964
