feature,correlation,importance
hour_of_day,0.33932882847955786,0.3910088875736677
hour_cos,-0.3836665122764719,0.1604371648294512
hour_sin,-0.5510940685385287,0.07304830390407915
flow_rain_ratio,0.06348282606245878,0.05052198294293995
prev_op_hour,-0.10744231868035581,0.042500010094698976
ops_week_total_duration,-0.08582763074318746,0.029762964028353787
future_tide_tide_slope,0.09174382216943294,0.021620674173760734
day_of_year,0.04936591186506634,0.019504593118232758
tide_24h_tide_slope,-0.16293761049842004,0.016855772941449864
day_of_week,0.003982664587425899,0.01598594645998033
ops_week_avg_gates,-0.03013087589160492,0.015050503787004213
prev_gate_count,-0.07066685434363715,0.012754521768093772
ops_week_count,-0.07382468626019716,0.011009506599332192
tide_12h_tide_slope,-0.1687020751773326,0.009024182331459747
month,0.04541002502189632,0.008453272988397728
tide_24h_tide_range,0.02623484728496729,0.0077114476557822035
prev_duration,-0.03257409751997334,0.006916591109571115
future_tide_tide_mean,0.03482065628889606,0.006312208049663674
water_status_min,0.03512200283624526,0.005860110901689845
water_status_slope,0.05211777451065635,0.005842708066242821
tide_24h_tide_max,0.028469223549501755,0.005149428332884286
tide_24h_tide_phase,-0.14041818927948285,0.004747634689085554
future_tide_tide_r_squared,0.040463152317189076,0.004693855000783736
is_rush_hour,-0.1612966883619461,0.004490166147430007
tide_12h_tide_phase,-0.1438563181702064,0.0033475333849131077
flow_skew,0.02263243972703472,0.003275949941809559
tide_24h_tide_rise_rate,0.11788248473658394,0.003245157938274016
tide_12h_tide_range,0.010763660872052796,0.0030858337179951504
rain_actual_新昌_max,-0.06051530136952431,0.0028219889074867425
future_tide_tide_rise_rate,-0.08432325122865707,0.002803040679989857
tide_12h_tide_max,0.01095441507177586,0.0027898810027969126
future_tide_tide_min,-0.07836212716759587,0.002722590653984824
water_status_mean,0.007557689873478058,0.0025938572816787643
future_tide_tide_max,0.05907330070702842,0.002574872054829409
water_status_max,0.004511392026863655,0.002059635190705835
is_weekend,0.0037244767928276837,0.002002597093675514
tide_24h_tide_r_squared,-0.01237903283962958,0.0020019595885382223
tide_24h_tide_fall_rate,0.1051838487318624,0.001987481556015966
future_tide_tide_range,0.08078175628227377,0.001890087852325032
future_tide_tide_phase,-0.10821440503075903,0.001806917767373183
tide_24h_tide_mean,0.023880219108839616,0.0017681521797965189
tide_12h_tide_r_squared,-0.005124601471032213,0.001712619857849748
rain_actual_嵊州_mean,-0.12546805274252498,0.001628524301139165
tide_24h_tide_cycle_count,0.08926191169717185,0.0015292286533352462
tide_12h_tide_min,-0.0089355485639086,0.0015254519187380868
tide_12h_tide_mean,-0.01223970072809423,0.0014094273262464177
rain_actual_虞北平原_max,-0.035618774182456285,0.0013490476679616297
rain_actual_绍兴平原_sum,-0.15252468492956736,0.0012395046045112189
rain_actual_嵊州_max,-0.05262400935285398,0.0012302813906649274
rain_actual_绍兴平原_mean,-0.12786929096049135,0.0011457243738462932
flow_max,-0.02429183269004685,0.0010531006935666515
flow_min,0.04247345368823763,0.0010331519549753518
flow_range,-0.04916343730968669,0.0010101079657527637
rain_actual_嵊州_sum,-0.1330736266878715,0.0009221181547133496
rain_actual_新昌_sum,-0.12021954873145153,0.0008640494679863835
rain_actual_avg,-0.1469208535373249,0.0008580444622940553
flow_mean,0.0031595888242066106,0.0007870113489347009
rain_actual_total,-0.14692085353732473,0.0007508076305870874
rain_actual_虞北平原_mean,-0.11635462513523197,0.0007046356831211905
rain_actual_绍兴平原_max,-0.03187540841812594,0.0006912568134596443
flow_var,-0.06580584301688958,0.0006760772536959874
tide_24h_tide_min,-0.016805058545653055,0.0006249626554613386
water_status_range,0.0017882363405176977,0.0005271498493951708
rain_actual_虞南山区_max,-0.05886920906929636,0.0004864367126151942
rain_actual_虞南山区_sum,-0.1386539771495351,0.0004822936692128283
rain_forecast_绍兴平原_sum,-0.00151965662357916,0.00046740437239387814
future_water_missing,0.09522757630737355,0.0003986422013611555
rain_actual_新昌_mean,-0.11269503097698949,0.0003873250768161459
tide_12h_tide_rise_rate,0.0007083845183604657,0.0003402123412363197
water_missing,-0.005433512959809841,0.00033760313123588773
rain_actual_虞北平原_sum,-0.13993698013923983,0.00027582284428655175
rain_actual_虞南山区_mean,-0.1237957198910941,0.00024829927541057385
tide_12h_tide_fall_rate,0.06483295387395599,0.00023468243170373962
tide_12h_tide_cycle_count,0.019192781473308194,0.00022170378364105262
rain_forecast_avg,-0.009623141555834682,0.0002141385382373497
flow_missing,0.00022296278193063008,0.0001938311157759781
