feature,correlation,importance
ops_week_total_duration,0.37446392171297765,0.1430527486025795
rain_actual_avg,0.3867503935723502,0.0622099963553961
rain_actual_total,0.3867503935723494,0.06090120738533818
prev_gate_count,0.4584963513796713,0.06030868620614441
water_status_min,-0.19857651046294936,0.05362306250257429
day_of_year,-0.07026925928257458,0.048174393032414387
ops_week_avg_gates,0.35506421061761095,0.041498609096815256
prev_op_hour,-0.11307280032454875,0.039199617571673326
future_tide_r_squared,-0.25187553547200453,0.026577141734607908
day_of_week,-0.0026084621319845034,0.02350471510565386
ops_week_count,0.3750112977035041,0.023307827112480483
water_status_slope,-0.10814780055588458,0.02128514390439628
hour_cos,0.24504327764367967,0.020478173579058272
prev_duration,0.1383955060933996,0.020018901187281397
flow_rain_ratio,-0.10792832688149981,0.018150983614621526
future_tide_slope,-0.15051008396196955,0.01602503416951809
hour_of_day,0.047625899258484566,0.014429727297926916
water_status_range,-0.05675888948588488,0.013445299026408692
rain_actual_虞北平原_sum,0.37038321629696275,0.01343713691077104
hour_sin,0.0035759408169892463,0.012308550457190327
tide_24h_slope,0.02353250751284362,0.011258935256905682
month,-0.0714075120786098,0.010990256561249282
tide_12h_slope,-0.02965885681365303,0.010894307088072198
rain_actual_绍兴平原_sum,0.3612410448068788,0.009308762090701151
water_status_mean,-0.08081879805241633,0.008793153098148121
tide_24h_fall_rate,-0.22289971465959843,0.008143795390804197
flow_skew,-0.0473370504112955,0.007829417088673424
future_tide_mean,-0.14106050474097462,0.007494896388022153
water_status_max,-0.06864774774470132,0.007400045839567729
tide_24h_mean,0.003248060133459199,0.007350644296882507
tide_24h_rise_rate,-0.16378601329563697,0.0070837459351085295
water_rain_ratio,-0.1653040750399403,0.006902558812286324
tide_24h_min,0.1024921738891042,0.0064657122794135715
flow_range,0.24614023381464548,0.006324356929408113
flow_min,0.17412113623965006,0.006280674024835865
rain_actual_嵊州_mean,0.3483405449711668,0.00625290321057763
rain_actual_绍兴平原_mean,0.3265827569358552,0.006031083826257066
