feature,correlation,importance
ops_week_total_duration,0.47304650881436916,0.14265717104590284
prev_gate_count,0.4791045583102601,0.1301856541724941
water_status_min,-0.33095993874598595,0.08357795865054453
ops_week_avg_gates,0.3500627023122014,0.0562058419977075
day_of_year,-0.051009465979422304,0.05530236404919486
prev_op_hour,-0.10962316007482363,0.05123350799591313
prev_duration,0.20144922575217875,0.04863127876625751
water_rain_ratio,-0.16734557255686186,0.039029700644295194
ops_week_count,0.4135031190083268,0.029129674567831432
day_of_week,-0.017999687941431884,0.024858226569788925
hour_cos,0.18223264853706608,0.023269149930037016
hour_sin,-0.020548932141358882,0.019948964159044888
future_tide_r_squared,-0.314772924560924,0.01710314660876995
hour_of_day,0.05904330407013707,0.015199706682932995
month,-0.052051951408811366,0.012556457623744884
rain_actual_嵊州_mean,0.23258114999545362,0.012177544081722988
tide_12h_slope,-0.02936164461871676,0.011360166961012339
flow_rain_ratio,-0.11430702553752498,0.010289661764405466
rain_actual_新昌_mean,0.21345009338840584,0.008561179033439389
future_tide_slope,-0.13210130367133166,0.008373612910222924
rain_actual_虞北平原_mean,0.2175972450810214,0.00829172875296194
flow_skew,-0.12111277487521507,0.00828864870313845
rain_actual_虞北平原_sum,0.24383169119576295,0.0068341881741333784
flow_max,0.14789195233014565,0.006746562762882769
water_status_max,-0.2306083898582824,0.0066016734402460095
water_status_slope,-0.08678712262287072,0.006500420449193529
rain_actual_绍兴平原_mean,0.2059204921593996,0.006178031178210056
rain_actual_avg,0.2579800531103979,0.006156459984940211
rain_actual_嵊州_sum,0.2475804935886472,0.005914815613097651
tide_24h_rise_rate,-0.27587970040662435,0.0058599427197080925
flow_min,0.14271241175420277,0.00582772859209773
water_status_range,-0.22024111186517115,0.005634440043707261
water_status_mean,-0.23926295020346228,0.0054622471039863455
flow_range,0.12475379653353566,0.005400271690366842
tide_24h_fall_rate,-0.31916532542883724,0.0049178045972620675
tide_12h_mean,-0.12958824099869726,0.004887491485078779
future_tide_min,0.09184286390855623,0.004683993523956573
rain_actual_虞北平原_max,0.05984958632929028,0.004412278801915652
tide_24h_r_squared,-0.17046816319882258,0.004328371131676487
tide_24h_slope,0.01799201331247722,0.00426189796224467
rain_actual_新昌_sum,0.22656700281295888,0.004225699918003438
rain_actual_绍兴平原_sum,0.23690815310297852,0.003907639038829748
future_tide_mean,-0.17970699601543552,0.00388741339746458
