feature,correlation,importance
ops_week_total_duration,0.37446392171297765,0.14196485677328216
rain_actual_total,0.3867503935723494,0.06984272772684247
prev_gate_count,0.4584963513796713,0.062412298118937344
rain_actual_avg,0.3867503935723502,0.053470459426665756
water_status_min,-0.19857651046294936,0.05171390323183052
day_of_year,-0.07026925928257458,0.050227992632868076
ops_week_avg_gates,0.35506421061761095,0.04180270545559275
prev_op_hour,-0.11307280032454875,0.04043290219215513
future_tide_tide_r_squared,-0.2536501665589833,0.02521252398926513
day_of_week,-0.0026084621319845034,0.023776457570184425
hour_cos,0.24504327764367967,0.021719764871229712
ops_week_count,0.3750112977035041,0.021357045964642142
water_status_slope,-0.10814780055588458,0.02087345927921586
prev_duration,0.1383955060933996,0.019949184309911824
flow_rain_ratio,-0.10792832688149981,0.019726838367706386
future_tide_tide_slope,-0.1482312719406597,0.015717306885556056
hour_of_day,0.047625899258484566,0.015053775880958471
water_status_range,-0.05675888948588488,0.014397205339263806
hour_sin,0.0035759408169892463,0.012511413606060522
rain_actual_虞北平原_sum,0.37038321629696275,0.012275847918076548
tide_24h_tide_slope,-0.030922492670131703,0.011609384144174242
month,-0.0714075120786098,0.01019414889317428
tide_12h_tide_slope,-0.02965885681365303,0.009867502806833475
rain_actual_绍兴平原_sum,0.3612410448068788,0.009597667527819096
tide_24h_tide_fall_rate,-0.3057097430740952,0.008928329582346578
flow_skew,-0.0473370504112955,0.008924609466931094
future_tide_tide_mean,-0.13807705295124204,0.008468978056484083
water_status_mean,-0.08081879805241633,0.008087373454130234
tide_24h_tide_mean,0.013159536645095393,0.0075228376395314175
water_status_max,-0.06864774774470132,0.007172646069896035
tide_24h_tide_r_squared,-0.012776807890265987,0.006606321839854613
future_tide_tide_min,0.02409065808493937,0.006420238015255469
rain_actual_虞北平原_mean,0.3367568738695474,0.006235961543035903
rain_actual_嵊州_mean,0.3483405449711668,0.006230486337468762
tide_12h_tide_mean,0.019302335308924248,0.006219405854064371
flow_min,0.17412113623965006,0.006200252024806741
future_tide_tide_range,-0.13233386691425864,0.005993978121349407
rain_actual_绍兴平原_mean,0.3265827569358552,0.005960274801950215
tide_12h_tide_r_squared,-0.04914494156993922,0.005826480617010246
tide_12h_tide_min,0.11636225059706207,0.005706506880957607
flow_range,0.24614023381464548,0.005528739218016682
tide_24h_tide_max,-0.04088087345683377,0.005501386953285444
