feature,correlation,importance
prev_gate_count,-0.457207518251721,0.19873376768939596
water_status_min,0.38012469104850066,0.19118553600591465
day_of_year,0.03276175920648195,0.074225467636644
ops_week_total_duration,-0.4246207741284071,0.07213001699301555
ops_week_avg_gates,-0.341535221519539,0.044116433996055464
prev_duration,-0.13475790682763,0.04211989872266891
prev_op_hour,0.12762877569538142,0.04205664031094448
water_rain_ratio,0.1588458591493179,0.02267594598438599
day_of_week,0.013014329828886905,0.02122611516266131
hour_cos,-0.21711181307550648,0.019036961979093284
ops_week_count,-0.3843615816274033,0.01830162981629978
hour_of_day,-0.0684122636060211,0.016582255455792682
month,0.03208014216504376,0.015568021345488639
hour_sin,0.026878210390608132,0.01482090214704962
tide_24h_fall_rate,0.36690146873913754,0.012239301935356417
future_tide_r_squared,0.3368140776032074,0.009794848451922866
tide_12h_mean,0.1515116890797942,0.0083468541065389
flow_rain_ratio,0.10797013571576063,0.0072978023067309964
water_status_mean,0.270661638579276,0.00683948463196616
rain_actual_嵊州_mean,-0.23736804662519462,0.006612011292007101
flow_skew,0.12009141379172546,0.006353179069220748
water_status_slope,0.09562898218814193,0.0063198369537090845
tide_12h_slope,0.003026028693907411,0.005993672672577458
tide_24h_rise_rate,0.3092185013641368,0.005753368880464508
future_tide_slope,0.10998598891394501,0.005747496169694197
rain_actual_嵊州_sum,-0.2584046798914718,0.005703053074877598
rain_actual_绍兴平原_sum,-0.2521708737766857,0.005345746299090565
rain_actual_绍兴平原_mean,-0.2164602242395062,0.005215359807267167
flow_max,-0.14903145040834823,0.00514365237270945
water_status_range,0.2476541913883775,0.005077542368636601
rain_actual_新昌_mean,-0.2147072627026812,0.004906552887742702
rain_actual_虞北平原_max,-0.08211167496475859,0.004507290998162775
rain_actual_虞北平原_sum,-0.25450983450225695,0.004500511526867936
tide_24h_mean,0.18008702839156007,0.0038680282395973
tide_24h_slope,-0.016858194112973336,0.0036976228429167314
future_tide_mean,0.17106175343030408,0.0036705354673760874
