feature,correlation,importance
water_status_min,-0.35146594148737126,0.21666594728936542
ops_week_total_duration,0.4710871307326538,0.08810370351846916
prev_gate_count,0.46573554504154613,0.08581847595528844
day_of_year,-0.10841624277313816,0.053692587836006216
ops_week_avg_gates,0.3879842443848379,0.04536933142206716
prev_duration,0.2516209624363778,0.044574434541391914
prev_op_hour,-0.10841217753012669,0.040880714566895904
flow_rain_ratio,-0.12843159303550244,0.028558067873756556
future_tide_tide_r_squared,-0.3562128165252586,0.02566008084608317
day_of_week,0.008218012433507421,0.025347856896507145
ops_week_count,0.42560055966603155,0.01979674022406686
hour_cos,0.20165488678792115,0.01911249659665289
hour_sin,-0.024797287556224807,0.013575726982399774
hour_of_day,0.06582274845717036,0.011272870647744168
tide_24h_tide_fall_rate,-0.37641215514249,0.011112384270945448
future_tide_tide_slope,-0.13546280006173783,0.010699703660086502
flow_skew,-0.12906273400883025,0.010203677828599001
water_status_slope,-0.09531545068580309,0.009905357725319922
month,-0.10851836502382838,0.009499159157067713
water_status_mean,-0.251046130755441,0.008471471785662384
tide_12h_tide_slope,-0.02937476581611773,0.008371745916871495
water_status_max,-0.24044743459541723,0.00814524558157183
tide_12h_tide_rise_rate,-0.265564803513892,0.008107752257547077
future_tide_tide_fall_rate,-0.0223366945002231,0.007646918618988775
rain_actual_嵊州_mean,0.23707072119206662,0.007039432191994522
tide_24h_tide_mean,-0.1581067660649207,0.006762366292848627
tide_24h_tide_slope,-0.021953103815174117,0.00675528793506694
future_tide_tide_min,0.11405161075341884,0.006749696214358077
rain_actual_total,0.26270863517531623,0.00650329628636074
rain_actual_虞北平原_mean,0.22525620064785282,0.006030738306309128
rain_actual_avg,0.2627086351753169,0.005646497120319453
rain_actual_新昌_mean,0.22017052742884022,0.005429781405560271
flow_var,0.13730857849327102,0.005410514215002025
tide_12h_tide_max,-0.19770156843867367,0.0053990502954493645
flow_max,0.14477968187692142,0.0053196681404117435
future_tide_tide_mean,-0.19220541216791898,0.005314640064170288
