feature,importance
day_of_year,301
ops_week_total_duration,268
date,252
ops_week_avg_gates,235
prev_op_hour,193
day_of_week,116
hour_cos,112
prev_gate_count,111
hour_of_day,92
prev_duration,86
ops_week_count,51
water_status_min,43
tide_24h_mean,36
flow_skew,34
future_tide_r_squared,34
flow_mean,33
water_status_range,33
tide_24h_rise_rate,32
tide_12h_mean,31
water_rain_ratio,31
