feature,importance
prev_duration,0.3969804617356969
prev_gate_count,0.08908900362470722
water_status_min,0.06698288638316759
day_of_year,0.041030635876668685
date,0.03435354344652869
prev_op_hour,0.026366289712547404
ops_week_total_duration,0.025192290403721965
rain_actual_嵊州_sum,0.02391410955354799
ops_week_avg_gates,0.021606271013375852
rain_actual_嵊州_mean,0.01825094355527944
rain_actual_绍兴平原_max,0.01464085637548032
hour_cos,0.014261278105934
day_of_week,0.014110630879176552
month,0.012692494801071553
flow_rain_ratio,0.011701140989697996
ops_week_count,0.011086744082126277
rain_actual_total,0.009481345779253601
hour_of_day,0.00913994931468355
water_rain_ratio,0.008097010107104929
hour_sin,0.007332885368022675
