feature,importance
prev_duration,0.45686960526019477
date,0.0724870867379623
prev_gate_count,0.06391367392791114
rain_actual_嵊州_mean,0.054991297406892355
water_status_min,0.035366735195560495
tide_12h_max,0.019679180354673094
day_of_year,0.019226309342934813
ops_week_total_duration,0.018561284058167298
flow_rain_ratio,0.018388325329350926
water_rain_ratio,0.017612306704267396
rain_actual_绍兴平原_max,0.013760569100923574
tide_24h_mean,0.013339134853774451
tide_24h_rise_rate,0.013156709337288425
prev_op_hour,0.012943452518925171
ops_week_count,0.011212340889700823
tide_12h_r_squared,0.010021922345066436
hour_of_day,0.008983164922365972
rain_actual_虞北平原_mean,0.007191040157203349
rain_actual_avg,0.007028335763423152
future_tide_r_squared,0.006628704318096189
