feature,importance
prev_duration,0.239167443755267
water_status_min,0.09150544816098163
prev_gate_count,0.06955243564530596
large_gate_priority,0.062231870961510845
day_of_year,0.04347645579630126
date,0.036546505182086186
is_large_gate_pattern,0.035799150403843114
ops_week_avg_gates,0.031781169970279105
prev_op_hour,0.02755270098185146
ops_week_total_duration,0.025110652617242376
flow_rain_ratio,0.019549706715849238
rain_actual_total,0.01900354013731638
water_rain_ratio,0.017975656019527664
day_of_week,0.016963369662647616
rain_actual_avg,0.014246389052310562
future_tide_r_squared,0.014078000436491135
hour_cos,0.013096535931530961
ops_week_count,0.010100645909208228
flow_skew,0.009428069279391422
hour_of_day,0.008611947021201202
