target,best_regression_model,best_regression_rmse,regression_results,classification_results,sample_size
开闸时间(小时),Random Forest,3.2386068847186085,"{'Linear Regression': {'rmse': 4.138906467478989, 'r2': 0.4247465769627222}, 'Random Forest': {'rmse': 3.2386068847186085, 'r2': 0.6477877499126885}, 'XGBoost': {'rmse': 3.442920765208266, 'r2': 0.6019459533415774}, 'LightGBM': {'rmse': 3.3876506395331805, 'r2': 0.6146235075154155}, 'SVM': {'rmse': 5.880143670974269, 'r2': -0.1610845927411071}, 'Lasso': {'rmse': 4.850887165007887, 'r2': 0.20981217703676425}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 3.4814406100932955, 'r2': 0.5929891664320559}, 'MLP': {'rmse': 3.940773970338003, 'r2': 0.4785039310283514}}",,1072
开闸时长,Random Forest,0.8550803035863914,"{'Linear Regression': {'rmse': 1.265103252920156, 'r2': 0.22169587959324044}, 'Random Forest': {'rmse': 0.8550803035863914, 'r2': 0.6444413977024069}, 'XGBoost': {'rmse': 0.8967602145862793, 'r2': 0.6089340089848431}, 'LightGBM': {'rmse': 0.8937800399624065, 'r2': 0.6115289242827158}, 'SVM': {'rmse': 1.4316492593618575, 'r2': 0.0032857884336141563}, 'Lasso': {'rmse': 1.0401045690809692, 'r2': 0.47392048252132235}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 0.8741775959898191, 'r2': 0.6283820111849416}, 'MLP': {'rmse': 0.8659735205687714, 'r2': 0.6353244808940841}}",,1072
开闸孔数,Gradient Boosting,1.091284067320114,"{'Linear Regression': {'rmse': 2.224242098181852, 'r2': -1.3045202836323302}, 'Random Forest': {'rmse': 1.0986437728103153, 'r2': 0.4377490225124452}, 'XGBoost': {'rmse': 1.1388912566764293, 'r2': 0.3957996952673992}, 'LightGBM': {'rmse': 1.1353475176988097, 'r2': 0.3995538676229856}, 'SVM': {'rmse': 1.4601345514510171, 'r2': 0.006878971037490578}, 'Lasso': {'rmse': 1.1025526393428473, 'r2': 0.43374103776353023}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 1.091284067320114, 'r2': 0.4452567182316882}, 'MLP': {'rmse': 1.3159304040459163, 'r2': 0.19335533700326057}}","{'Random Forest Classifier': {'accuracy': 0.4, 'f1': 0.39268219064834337, 'precision': 0.42174616140960375, 'recall': 0.4}, 'XGBoost Classifier': {'accuracy': 0.34418604651162793, 'f1': 0.3432151455163655, 'precision': 0.36439507198228127, 'recall': 0.34418604651162793}, 'LightGBM Classifier': {'accuracy': 0.3674418604651163, 'f1': 0.3646437262014167, 'precision': 0.3754017472250913, 'recall': 0.3674418604651163}, 'SVM Classifier': {'accuracy': 0.21395348837209302, 'f1': 0.09129166193987522, 'precision': 0.06866575745231053, 'recall': 0.21395348837209302}, 'Logistic Regression': {'accuracy': 0.15813953488372093, 'f1': 0.11993325582490791, 'precision': 0.35560389009361953, 'recall': 0.15813953488372093}, 'Gradient Boosting Classifier': {'accuracy': 0.386046511627907, 'f1': 0.3818633501799547, 'precision': 0.39713689557221005, 'recall': 0.386046511627907}}",1072
目标水位,Gradient Boosting,0.37940222362651516,"{'Linear Regression': {'rmse': 0.5148715238185673, 'r2': 0.5797121136286405}, 'Random Forest': {'rmse': 0.38004022124959586, 'r2': 0.7710143580272871}, 'XGBoost': {'rmse': 0.40617480147254587, 'r2': 0.7384377401260569}, 'LightGBM': {'rmse': 0.3848462687718741, 'r2': 0.7651861616287644}, 'SVM': {'rmse': 0.8049018332536404, 'r2': -0.02715257757728895}, 'Lasso': {'rmse': 0.5304553239883525, 'r2': 0.5538850755605536}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 0.37940222362651516, 'r2': 0.7717825381300001}, 'MLP': {'rmse': 0.4481767094733712, 'r2': 0.6815452767778714}}",,1072
联合时长-孔数,Random Forest,5.236170311867608,"{'Linear Regression': {'rmse': 6.27337044694891, 'r2': 0.6189282597141956}, 'Random Forest': {'rmse': 5.236170311867608, 'r2': 0.7345196363088687}, 'XGBoost': {'rmse': 5.562438388981029, 'r2': 0.700404487995173}, 'LightGBM': {'rmse': 5.301805664139994, 'r2': 0.7278223340363201}, 'SVM': {'rmse': 10.6723524226137, 'r2': -0.10287220633166738}, 'Lasso': {'rmse': 6.209386442958136, 'r2': 0.6266619504723838}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 5.359063425315767, 'r2': 0.7219117302296588}, 'MLP': {'rmse': 5.775555840837342, 'r2': 0.6770074908292978}}",,1072
联合时长-孔数-log,Random Forest,0.45191353501943665,"{'Linear Regression': {'rmse': 0.7353032125131885, 'r2': -0.06638570862428805}, 'Random Forest': {'rmse': 0.45191353501943665, 'r2': 0.5971975651791441}, 'XGBoost': {'rmse': 0.4785439064512974, 'r2': 0.5483261261810631}, 'LightGBM': {'rmse': 0.4729271635783356, 'r2': 0.558866633645801}, 'SVM': {'rmse': 0.6914380681092251, 'r2': 0.057051524928556474}, 'Lasso': {'rmse': 0.529590872986875, 'r2': 0.44682521843342715}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 0.4600992831004271, 'r2': 0.5824730600850438}, 'MLP': {'rmse': 0.5133347439386196, 'r2': 0.4802641091984554}}",,1072
