feature,importance
day_of_year,271
date,246
prev_op_hour,208
ops_week_avg_gates,192
ops_week_total_duration,175
prev_duration,119
day_of_week,115
hour_of_day,103
hour_cos,101
prev_gate_count,97
ops_week_count,55
tide_12h_max,51
hour_sin,50
water_status_slope,48
water_status_mean,47
water_status_min,44
tide_24h_mean,43
tide_24h_rise_rate,37
tide_12h_range,36
rain_actual_total,35
