,precision,recall,f1-score,support
0,0.37209302325581395,0.5714285714285714,0.45070422535211263,28.0
1,0.2857142857142857,0.3333333333333333,0.30769230769230765,48.0
2,0.5,0.13793103448275862,0.2162162162162162,29.0
3,0.3442622950819672,0.38181818181818183,0.3620689655172414,55.0
4,0.5135135135135135,0.4222222222222222,0.4634146341463415,45.0
5,1.0,1.0,1.0,10.0
accuracy,0.4,0.4,0.4,0.4
macro avg,0.5025971862609301,0.4744555572141779,0.4666827248207032,215.0
weighted avg,0.42174616140960375,0.4,0.39268219064834337,215.0
