feature,correlation
prev_duration,-0.6931258966609092
prev_gate_count,-0.6840194565242526
large_gate_priority,-0.5935910341288219
is_large_gate_pattern,-0.5935910341288219
ops_week_total_duration,-0.5139872959357519
ops_week_avg_gates,-0.4921191538399724
ops_week_count,-0.48537994071968593
rain_actual_total,-0.43609784894181614
rain_actual_avg,-0.4360978489418161
rain_actual_嵊州_sum,-0.42401151561784867
rain_actual_虞北平原_sum,-0.4159248260904237
rain_actual_虞南山区_sum,-0.41278818189200367
rain_actual_绍兴平原_sum,-0.4100527649860669
tide_24h_fall_rate,0.4020561777941952
rain_actual_嵊州_mean,-0.400297145679359
rain_actual_新昌_sum,-0.39588315030194055
water_status_min,0.3916688202779042
rain_actual_虞南山区_mean,-0.3843322008757412
rain_actual_虞北平原_mean,-0.3762413915195271
rain_actual_新昌_mean,-0.36845980129136213
rain_actual_绍兴平原_mean,-0.36740462731584644
flow_mean,-0.35213735864997053
flow_max,-0.3515737386388716
tide_24h_cycle_count,0.34188336277572595
flow_var,-0.33180799990964766
tide_24h_rise_rate,0.32849263547696556
hour_cos,-0.32324153521461824
flow_range,-0.30759011038053724
future_tide_r_squared,0.3061429984732855
flow_min,-0.29503150461066124
tide_12h_cycle_count,0.272129862732593
tide_type,-0.24999102243849602
tide_12h_min,-0.24222510710041803
tide_24h_min,-0.22389988984674092
tide_12h_rise_rate,0.22320333451317007
water_status_mean,0.2078283483639546
tide_24h_r_squared,0.20406624146329483
water_status_max,0.2014667839639066
water_status_missing,-0.19892268925278542
future_tide_range,0.19843574914181827
water_missing,-0.19712096918039304
flow_missing,-0.1948947553625219
rain_actual_新昌_max,-0.19390680047602962
rain_actual_虞南山区_max,-0.19253072215476746
rain_actual_嵊州_max,-0.18955557363739306
future_tide_tide_type,0.18571297050471172
tide_12h_phase,0.18492717006260626
rain_actual_虞北平原_max,-0.18416337418234247
flow_skew,0.18353552159231643
water_status_range,0.1834337269087264
prev_op_hour,0.18234810404609655
date,-0.1814232798005071
tide_24h_phase,0.1772030490932654
water_rain_ratio,0.17534214296681017
future_tide_phase,0.17198088272441453
future_tide_max,0.16987289735179156
rain_actual_绍兴平原_max,-0.15796366429737743
future_tide_slope,0.15592587133833533
tide_12h_range,0.15050203896678246
tide_24h_range,0.14300258106917144
future_tide_mean,0.13918233985798692
tide_12h_tide_type,0.13383911606002175
tide_12h_fall_rate,0.1271099825908329
flow_rain_ratio,0.12616603201270044
future_tide_min,-0.12242169905727392
tide_12h_r_squared,0.11756140490274428
tide_12h_max,0.11648962643696192
tide_24h_max,0.11598552868595376
hour_of_day,-0.10032870730461586
rain_change_rate,-0.08137921599773938
future_tide_cycle_count,0.07895087780917497
tide_24h_tide_type,0.07810160112192427
hour_sin,0.07223160422428113
is_rush_hour,0.06943003040489222
day_of_year,-0.06360475249854551
month,-0.061879455989577115
water_status_slope,0.058247758179276334
future_tide_rise_rate,0.05698722495340358
future_tide_fall_rate,0.04439588092349895
tide_24h_mean,0.04150750612127724
tide_12h_slope,0.03876856102037854
is_weekend,-0.032755511934583974
rain_forecast_新昌_sum,-0.031796301326157184
tide_12h_mean,0.02952161831564368
rain_missing,0.02274965715201885
rain_forecast_虞南山区_max,-0.02237132611863309
hour_similar_to_large_gate,-0.022327222752904673
rain_forecast_新昌_mean,-0.01889096135607339
tide_24h_slope,-0.017738645085241627
day_of_week,-0.01638095016872073
rain_forecast_虞南山区_mean,-0.009499942022552638
rain_forecast_avg,-0.008553553517371266
rain_forecast_total,-0.008553553517371264
rain_forecast_绍兴平原_max,-0.00563024573505587
rain_forecast_虞北平原_sum,0.0055927655615030615
rain_forecast_新昌_max,-0.005589774003533969
rain_forecast_绍兴平原_sum,0.005426843201143346
rain_forecast_虞南山区_sum,-0.0037716299324241096
rain_forecast_虞北平原_mean,0.0036406794086670173
rain_forecast_嵊州_sum,-0.0014710983037441228
rain_forecast_嵊州_max,0.0011534707279190059
rain_forecast_虞北平原_max,-0.001019855360907533
rain_forecast_嵊州_mean,-0.000908575162594008
rain_forecast_绍兴平原_mean,-0.0003884798985057977
large_gate_avg_duration,
tide_similar_to_large_gate,
rain_similar_to_large_gate,
future_water_missing,
