feature,r2_score
hour_sin,0.255764428954781
hour_cos,0.19190764843286356
hour_of_day,0.07942622401386812
hour_similar_to_large_gate,0.051498259596879925
prev_op_hour,0.028411818266824596
prev_duration,0.017815041862222047
prev_gate_count,0.017404801302651207
tide_12h_slope,0.01646026463100181
rain_actual_绍兴平原_sum,0.01619579091746781
rain_actual_虞北平原_sum,0.014466493181627182
rain_actual_avg,0.013962958139000947
rain_actual_total,0.013962958139000947
tide_24h_fall_rate,0.013696141249697646
is_rush_hour,0.01349145562216103
rain_actual_虞南山区_sum,0.013365058737087154
rain_actual_绍兴平原_mean,0.012757233091639897
rain_actual_虞南山区_mean,0.011906618104413624
rain_actual_虞北平原_mean,0.011799213565490296
ops_week_count,0.011617534952650388
rain_actual_嵊州_sum,0.011314496204042457
future_tide_slope,0.011104959644945955
tide_24h_rise_rate,0.010533889836242705
rain_actual_嵊州_mean,0.01004950091200607
tide_12h_phase,0.00948961959883543
ops_week_total_duration,0.009328945415637002
rain_actual_新昌_sum,0.008870777200625235
future_tide_range,0.008375695911306491
tide_24h_slope,0.008314957834432701
water_rain_ratio,0.007868779339789467
rain_actual_新昌_mean,0.007827247038646679
future_tide_min,0.007485630204430271
tide_type,0.007400194246365954
tide_24h_phase,0.006934397725595565
tide_24h_r_squared,0.006187874361646917
flow_var,0.005905870817106029
rain_change_rate,0.004811017137377083
future_tide_max,0.0046891506397099825
large_gate_priority,0.004658788292076332
is_large_gate_pattern,0.004658788292076332
ops_week_avg_gates,0.004612843057128613
future_tide_phase,0.004419377120606249
future_tide_rise_rate,0.0043817938676420365
flow_rain_ratio,0.004347143109477258
water_status_min,0.004332320030922987
tide_24h_cycle_count,0.004084762899812744
tide_12h_fall_rate,0.003586971132869987
rain_actual_虞南山区_max,0.0033058355238306802
flow_range,0.0032954377351368525
flow_max,0.002925192482582939
rain_actual_新昌_max,0.0028772023468583985
rain_actual_嵊州_max,0.002527914367081885
future_tide_cycle_count,0.0023776763664625777
flow_mean,0.0019070278057700119
tide_24h_min,0.0018619216041388942
rain_actual_虞北平原_max,0.001847505279225059
future_tide_mean,0.001805776409083082
flow_skew,0.0016578996514674538
future_tide_r_squared,0.0016468005016159193
tide_24h_range,0.0016263246008856314
tide_24h_max,0.0014891839326993672
tide_12h_min,0.0014017277489035695
water_status_slope,0.0013373109271754835
tide_12h_cycle_count,0.0012404796860608913
rain_actual_绍兴平原_max,0.000978645655277055
future_tide_tide_type,0.0009644560757109399
flow_min,0.0009502203098953332
water_status_mean,0.0008506186444184882
day_of_year,0.0008433367230661348
date,0.0008410785820942568
water_missing,0.000824578686713151
water_status_max,0.0008027289702587925
water_status_missing,0.0007922076389045296
tide_12h_range,0.0006867638329135506
month,0.0006401305672345536
tide_24h_mean,0.0006284561124894061
water_status_range,0.0006185601025019416
flow_missing,0.0005435198367592653
rain_missing,0.0005165270889588847
tide_12h_max,0.0004725959783347111
tide_12h_tide_type,0.00044981564147117403
tide_24h_tide_type,0.00037823858315877423
tide_12h_r_squared,0.0003231982582287962
tide_12h_rise_rate,0.0003178897583586693
rain_forecast_新昌_mean,0.00010057929153972633
tide_12h_mean,9.846548862202376e-05
day_of_week,6.871382301920637e-05
rain_forecast_虞北平原_sum,6.698984038233657e-05
rain_forecast_虞北平原_max,6.321190906710683e-05
rain_forecast_新昌_sum,4.598946232869938e-05
rain_forecast_虞南山区_max,3.192739617507989e-05
rain_forecast_嵊州_mean,2.6938184250702157e-05
rain_forecast_虞北平原_mean,2.2583590881919413e-05
rain_forecast_绍兴平原_max,1.5541110048866713e-05
rain_forecast_绍兴平原_sum,1.0919230224892829e-05
future_tide_fall_rate,8.8663300404912e-06
rain_forecast_嵊州_max,7.030343396774441e-06
is_weekend,3.997109524256359e-06
rain_forecast_绍兴平原_mean,2.062527071466924e-06
rain_forecast_虞南山区_sum,1.975259920294903e-06
rain_forecast_新昌_max,9.523690306378896e-07
rain_forecast_嵊州_sum,6.961330385468756e-07
rain_forecast_total,1.1830700052950505e-07
rain_forecast_avg,1.1830700052950505e-07
rain_forecast_虞南山区_mean,1.7738760460517256e-09
tide_similar_to_large_gate,0.0
large_gate_avg_duration,0.0
rain_similar_to_large_gate,0.0
future_water_missing,0.0
