feature,importance
hour_of_day,0.3636878636393718
hour_cos,0.1794084895312061
hour_sin,0.08105297217132079
prev_op_hour,0.07558351583474254
date,0.036526165871195594
day_of_year,0.01907546772280674
flow_rain_ratio,0.015937667755939567
ops_week_total_duration,0.01576643406214184
tide_12h_slope,0.015652845031642673
ops_week_avg_gates,0.013763378130365454
water_rain_ratio,0.012949197021954087
tide_12h_phase,0.012638546811088398
prev_duration,0.012147396504576826
tide_24h_slope,0.0105802809255511
ops_week_count,0.009683886501096514
day_of_week,0.009536397252260922
month,0.008940815328949855
future_tide_slope,0.008660722759524904
tide_24h_phase,0.008415709933160695
prev_gate_count,0.00814761802730398
