feature,importance
large_gate_priority,0.25044501503019456
prev_duration,0.17139634523100894
is_large_gate_pattern,0.1583895828019125
prev_op_hour,0.03236646616467603
date,0.02979677560457767
day_of_year,0.026720901177126402
water_status_min,0.022990485561858537
ops_week_avg_gates,0.02214242946466089
ops_week_total_duration,0.021890814646147692
hour_cos,0.014257407056499926
water_status_mean,0.012746936189671399
ops_week_count,0.01224337803353185
water_rain_ratio,0.012231426546987405
hour_of_day,0.012130906570270049
day_of_week,0.011463911218346183
prev_gate_count,0.0114499521053122
rain_change_rate,0.009356242398168511
water_status_max,0.009196716435837037
flow_rain_ratio,0.007795084294712703
hour_sin,0.007460118382752573
