feature,correlation
prev_duration,0.6638512039852731
is_large_gate_pattern,0.6321792427825654
large_gate_priority,0.6321792427825654
prev_gate_count,0.6052588322662845
ops_week_total_duration,0.46744728243359457
ops_week_avg_gates,0.4291719179436032
ops_week_count,0.42708696031094384
rain_actual_avg,0.3864654781441887
rain_actual_total,0.38646547814418863
rain_actual_嵊州_sum,0.3810969496213935
tide_24h_fall_rate,-0.37896422355454606
water_status_min,-0.37867603342724854
rain_actual_虞南山区_sum,0.3758381286685439
rain_actual_虞北平原_sum,0.3632844246470053
rain_actual_新昌_sum,0.3549805195525763
tide_24h_cycle_count,-0.35409407402423276
rain_actual_嵊州_mean,0.35351205439460415
rain_actual_绍兴平原_sum,0.34748809643973044
rain_actual_虞南山区_mean,0.34444389580083407
tide_24h_rise_rate,-0.3280136141439637
flow_mean,0.3247296330363169
rain_actual_新昌_mean,0.32447869896011494
rain_actual_虞北平原_mean,0.3202205854907391
flow_max,0.3133984056975029
rain_actual_绍兴平原_mean,0.30040362699007933
flow_var,0.29565114611591436
future_tide_r_squared,-0.2852548932035464
flow_min,0.2749334969148203
tide_12h_cycle_count,-0.264790526756503
flow_range,0.2641189602544224
hour_cos,0.2593843311687818
tide_type,0.2489153354548185
tide_12h_min,0.24804571252222216
tide_24h_min,0.23976610137189078
tide_12h_rise_rate,-0.23358955170821089
water_status_mean,-0.21913065389677422
tide_12h_phase,-0.21827875689234977
water_status_max,-0.2176759971466237
water_status_missing,0.21608398186835215
water_missing,0.21418068791818576
flow_missing,0.21268190790831326
tide_24h_phase,-0.21137721117990085
future_tide_phase,-0.2087273799405
future_tide_range,-0.2072452308909269
future_tide_tide_type,-0.20222336395251078
water_status_range,-0.20195690750510567
flow_skew,-0.19882264035908148
date,0.19039639796655394
future_tide_max,-0.1790871577022081
tide_24h_r_squared,-0.1695823739539958
water_rain_ratio,-0.1670699114896467
tide_12h_range,-0.16256008771420963
tide_24h_range,-0.16253468184059056
tide_12h_tide_type,-0.15603413990494383
rain_actual_虞南山区_max,0.15429113344873188
future_tide_slope,-0.15039026642978762
rain_actual_新昌_max,0.14658054590548258
future_tide_mean,-0.14578839557804923
rain_actual_虞北平原_max,0.1379905401968789
tide_24h_max,-0.13620841124536112
prev_op_hour,-0.13504784229395125
rain_actual_嵊州_max,0.13092797291627709
tide_12h_max,-0.1297098427666974
future_tide_min,0.12141855299129074
flow_rain_ratio,-0.11714241690987123
rain_change_rate,0.1037854319126001
tide_12h_r_squared,-0.10347949743786569
tide_12h_fall_rate,-0.10094111456023787
rain_actual_绍兴平原_max,0.100934509530661
tide_24h_tide_type,-0.09816046010285907
future_tide_cycle_count,-0.07960706662394983
hour_of_day,0.07839482883562846
future_tide_rise_rate,-0.07072085580417045
hour_sin,-0.06898543147859049
is_rush_hour,-0.06525307240333986
tide_12h_slope,-0.0624933042542775
tide_24h_mean,-0.0595644252703076
day_of_year,0.05288257555213722
is_weekend,0.05067369273564637
future_tide_fall_rate,-0.049852895339764926
rain_missing,-0.04936590981849556
month,0.048670809203589176
tide_12h_mean,-0.048318430716688225
rain_forecast_新昌_sum,0.04522028478859262
rain_forecast_嵊州_max,-0.029837400410547867
rain_forecast_虞北平原_mean,-0.025478116247135772
rain_forecast_绍兴平原_mean,-0.0223880892895506
rain_forecast_绍兴平原_sum,-0.020387703526344482
rain_forecast_虞北平原_sum,-0.01967748610103696
day_of_week,0.018103936041135443
rain_forecast_嵊州_mean,-0.017810439794031244
rain_forecast_新昌_max,-0.01472212391655948
water_status_slope,0.012490910185307954
rain_forecast_虞南山区_mean,-0.011690291218876941
rain_forecast_绍兴平原_max,-0.00837751840530281
rain_forecast_虞南山区_sum,-0.00832897371005429
rain_forecast_虞北平原_max,-0.006783980945056089
rain_forecast_新昌_mean,0.006328016976441151
tide_24h_slope,-0.006033715110147279
rain_forecast_虞南山区_max,-0.004767663403810712
rain_forecast_total,0.004222975740598302
rain_forecast_avg,0.004222975740598302
hour_similar_to_large_gate,-0.002202469544583958
rain_forecast_嵊州_sum,-0.00218604879127638
future_water_missing,
large_gate_avg_duration,
tide_similar_to_large_gate,
rain_similar_to_large_gate,
