,precision,recall,f1-score,support
0,0.34,0.6071428571428571,0.43589743589743596,28.0
1,0.32142857142857145,0.3,0.3103448275862069,60.0
2,0.5,0.07142857142857142,0.125,28.0
3,0.3269230769230769,0.3333333333333333,0.3300970873786408,51.0
4,0.5555555555555556,0.625,0.5882352941176471,40.0
5,1.0,1.0,1.0,12.0
accuracy,0.4155251141552511,0.4155251141552511,0.4155251141552511,0.4155251141552511
macro avg,0.5073178673178673,0.48948412698412697,0.4649291074966551,219.0
weighted avg,0.4278585088174129,0.4155251141552511,0.39584557571377704,219.0
