feature,r2_score
prev_gate_count,0.37854277615191734
prev_duration,0.3560971566997472
is_large_gate_pattern,0.24963342241612863
large_gate_priority,0.24963342241612863
ops_week_avg_gates,0.23098376016941835
ops_week_total_duration,0.21838975281030115
ops_week_count,0.21787844882013718
rain_actual_total,0.1544616704481857
rain_actual_avg,0.1544616704481857
rain_actual_嵊州_sum,0.1484104032456336
tide_24h_fall_rate,0.1472689719092557
water_status_min,0.14426816084191008
rain_actual_虞北平原_sum,0.13967734770701312
rain_actual_嵊州_mean,0.13782246651632912
rain_actual_虞南山区_sum,0.13625228300436287
rain_actual_绍兴平原_sum,0.13436496651183372
rain_actual_新昌_sum,0.13285280088670948
rain_actual_虞南山区_mean,0.12487987690239333
rain_actual_新昌_mean,0.12273099826843181
rain_actual_虞北平原_mean,0.12013192947289775
future_tide_r_squared,0.11854929907050127
rain_actual_绍兴平原_mean,0.11237742100690151
tide_24h_rise_rate,0.10425921696135898
tide_24h_cycle_count,0.09804972789857636
flow_max,0.09547635670959587
tide_12h_cycle_count,0.0921763530646611
flow_mean,0.09117283551900446
hour_cos,0.08820952021915118
flow_range,0.07713482625991641
tide_12h_rise_rate,0.07490585729890709
flow_var,0.0684850024123772
flow_min,0.05948165067934641
tide_12h_min,0.05910348134667365
tide_type,0.05431759791403834
tide_24h_min,0.05006044461239523
future_tide_range,0.049315115351173944
water_rain_ratio,0.04365750087237985
future_tide_max,0.04290876733783766
water_status_mean,0.0420717227506443
water_status_max,0.039375144108574345
water_status_missing,0.03851142196068558
future_tide_slope,0.03847374314852037
flow_missing,0.03830835133638388
water_missing,0.037286392476763686
future_tide_mean,0.03666401468621916
future_tide_tide_type,0.0363933911175206
rain_actual_虞南山区_max,0.035567324433603775
tide_12h_phase,0.035520972162045195
water_status_range,0.0328047682841186
tide_24h_r_squared,0.03260522529857812
tide_24h_phase,0.03194727883698911
future_tide_phase,0.03136521533235381
rain_actual_新昌_max,0.03127050953891608
rain_actual_嵊州_max,0.02658212017634043
date,0.025880587935381838
rain_actual_虞北平原_max,0.02489326463063013
flow_skew,0.02327672427917593
tide_12h_range,0.023275671615146765
prev_op_hour,0.023029567113028615
tide_24h_range,0.02196862757414464
flow_rain_ratio,0.018884786076634685
rain_actual_绍兴平原_max,0.018545062064129647
tide_12h_tide_type,0.015227161803904599
tide_24h_max,0.015061062982715256
tide_12h_max,0.014058274065076093
tide_12h_fall_rate,0.011077891045337296
tide_12h_r_squared,0.009698375572606777
future_tide_min,0.007039918999116823
tide_24h_tide_type,0.006913973682477925
hour_of_day,0.006146649085719935
tide_12h_slope,0.004399125372554713
rain_change_rate,0.0041465541809492246
is_rush_hour,0.0033257867788847317
hour_sin,0.0028536863817579805
tide_24h_mean,0.0025468790271011565
month,0.0024412506414532853
rain_forecast_新昌_sum,0.0022221835664625322
day_of_year,0.0020454142297933187
rain_missing,0.0018152578320457247
is_weekend,0.001773182505661386
tide_12h_mean,0.0011226524997445253
water_status_slope,0.0007014787907223541
rain_forecast_新昌_mean,0.0006056408824788306
rain_forecast_虞南山区_mean,0.0005707832877476227
rain_forecast_虞南山区_sum,0.000548575700418219
day_of_week,0.0004894700030777521
rain_forecast_嵊州_max,0.0003990439891520259
rain_forecast_avg,0.0003910323192168885
rain_forecast_total,0.0003910323192168885
future_tide_rise_rate,0.00034166971977944716
future_tide_cycle_count,0.00032683593331250815
rain_forecast_虞南山区_max,0.00025193410220025747
rain_forecast_嵊州_sum,0.00013218821400839964
future_tide_fall_rate,0.00010615461555274486
hour_similar_to_large_gate,5.5995496139327194e-05
rain_forecast_新昌_max,4.54596644366978e-05
rain_forecast_虞北平原_max,4.3978687947476836e-05
rain_forecast_嵊州_mean,1.7994780533436838e-05
rain_forecast_绍兴平原_max,1.3613302475845579e-05
rain_forecast_虞北平原_sum,1.3207188906183553e-05
rain_forecast_绍兴平原_mean,1.2412378288528814e-05
rain_forecast_绍兴平原_sum,1.224971630364724e-05
rain_forecast_虞北平原_mean,6.80144375153624e-07
tide_24h_slope,6.628325359692155e-07
tide_similar_to_large_gate,0.0
large_gate_avg_duration,0.0
future_water_missing,0.0
rain_similar_to_large_gate,0.0
