feature,importance
prev_duration,0.31451381254926297
prev_gate_count,0.13215603615710877
water_status_min,0.09441202864390275
is_large_gate_pattern,0.05556917055172113
flow_rain_ratio,0.04799837966836515
large_gate_priority,0.028975030915929807
day_of_year,0.02774303853222459
ops_week_total_duration,0.024003401052533894
ops_week_avg_gates,0.022472951352314256
rain_actual_avg,0.020487984599793303
future_tide_r_squared,0.017198500656303548
date,0.01700770497571895
ops_week_count,0.014559657003072176
water_rain_ratio,0.014081909330559292
tide_24h_rise_rate,0.01256289483667218
tide_12h_rise_rate,0.012526075141116283
rain_actual_total,0.011140599396620845
prev_op_hour,0.00952399666203499
future_tide_slope,0.008625812872341562
rain_actual_新昌_sum,0.007753321109981786
