target,best_regression_model,best_regression_rmse,regression_results,classification_results,sample_size
开闸时间(小时),Random Forest,2.665069766102533,"{'Linear Regression': {'rmse': 3.8157579759788347, 'r2': 0.5055415412785413}, 'Random Forest': {'rmse': 2.665069766102533, 'r2': 0.7587955397550828}, 'XGBoost': {'rmse': 3.152505025960966, 'r2': 0.6624953624885155}, 'LightGBM': {'rmse': 2.8539705023791053, 'r2': 0.7233904758273062}, 'SVM': {'rmse': 5.554980671045284, 'r2': -0.04793241340685417}, 'Lasso': {'rmse': 4.982104297960268, 'r2': 0.15706555766060837}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 3.1924654507945465, 'r2': 0.6538848723876773}, 'MLP': {'rmse': 3.602204565637353, 'r2': 0.5593386972105974}}",,1094
开闸时长,Random Forest,0.8393368223602864,"{'Linear Regression': {'rmse': 0.9404813277171834, 'r2': 0.573539312446661}, 'Random Forest': {'rmse': 0.8393368223602864, 'r2': 0.660334685445443}, 'XGBoost': {'rmse': 0.980158871402172, 'r2': 0.5367967500258575}, 'LightGBM': {'rmse': 0.8694945686434535, 'r2': 0.6354875261492329}, 'SVM': {'rmse': 1.4265831053111937, 'r2': 0.018765519931341568}, 'Lasso': {'rmse': 1.1052403134420123, 'r2': 0.4110314802653232}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 0.882145955828986, 'r2': 0.6248028397722736}, 'MLP': {'rmse': 0.9174282811240667, 'r2': 0.5941898592907573}}",,1094
开闸孔数,Gradient Boosting,1.0670804994896428,"{'Linear Regression': {'rmse': 1.3840644567678446, 'r2': 0.12439251257025508}, 'Random Forest': {'rmse': 1.0910608134426498, 'r2': 0.45587992337602945}, 'XGBoost': {'rmse': 1.1697161594024452, 'r2': 0.37460009062045596}, 'LightGBM': {'rmse': 1.1119440658676967, 'r2': 0.434851319904474}, 'SVM': {'rmse': 1.4239716678773473, 'r2': 0.07317117635989323}, 'Lasso': {'rmse': 1.1618925699035274, 'r2': 0.3829380267188812}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 1.0670804994896428, 'r2': 0.4795353931851565}, 'MLP': {'rmse': 1.2628202831625879, 'r2': 0.2710798894901918}}","{'Random Forest Classifier': {'accuracy': 0.4155251141552511, 'f1': 0.39584557571377704, 'precision': 0.4278585088174129, 'recall': 0.4155251141552511}, 'XGBoost Classifier': {'accuracy': 0.4292237442922374, 'f1': 0.41863458306532425, 'precision': 0.43519813345881303, 'recall': 0.4292237442922374}, 'LightGBM Classifier': {'accuracy': 0.4383561643835616, 'f1': 0.4360682132167456, 'precision': 0.44309488460251534, 'recall': 0.4383561643835616}, 'SVM Classifier': {'accuracy': 0.2602739726027397, 'f1': 0.12992159903506503, 'precision': 0.09956565319077848, 'recall': 0.2602739726027397}, 'Logistic Regression': {'accuracy': 0.1872146118721461, 'f1': 0.1562976186421436, 'precision': 0.17083014593249202, 'recall': 0.1872146118721461}, 'Gradient Boosting Classifier': {'accuracy': 0.4246575342465753, 'f1': 0.4113119406892356, 'precision': 0.4238167717619773, 'recall': 0.4246575342465753}}",1094
目标水位,Random Forest,0.43674902539927274,"{'Linear Regression': {'rmse': 0.5095204511235091, 'r2': 0.6132975025971127}, 'Random Forest': {'rmse': 0.43674902539927274, 'r2': 0.7158696507809468}, 'XGBoost': {'rmse': 0.4482692961457472, 'r2': 0.7006827665118498}, 'LightGBM': {'rmse': 0.4370138222622501, 'r2': 0.7155250151734651}, 'SVM': {'rmse': 0.8149556650364956, 'r2': 0.010714366837601741}, 'Lasso': {'rmse': 0.580612146969795, 'r2': 0.4978586672082198}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 0.456091166722509, 'r2': 0.690146034627846}, 'MLP': {'rmse': 0.4680537975224408, 'r2': 0.6736788051812205}}",,1094
联合时长-孔数,Random Forest,5.34812910572537,"{'Linear Regression': {'rmse': 6.248286755829918, 'r2': 0.6423391682524098}, 'Random Forest': {'rmse': 5.34812910572537, 'r2': 0.7379686572181814}, 'XGBoost': {'rmse': 5.508066053336495, 'r2': 0.7220621098859563}, 'LightGBM': {'rmse': 5.552715792873135, 'r2': 0.7175377803126124}, 'SVM': {'rmse': 10.799875769263581, 'r2': -0.06853068076476898}, 'Lasso': {'rmse': 7.275947929869116, 'r2': 0.5150146258014106}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 5.430538319304759, 'r2': 0.7298311700139146}, 'MLP': {'rmse': 5.607079714509217, 'r2': 0.7119798065620262}}",,1094
联合时长-孔数-log,Gradient Boosting,0.44871601173998693,"{'Linear Regression': {'rmse': 0.5738270279256503, 'r2': 0.3547742662240151}, 'Random Forest': {'rmse': 0.4505057708918457, 'r2': 0.6023047562971229}, 'XGBoost': {'rmse': 0.4940456659271194, 'r2': 0.5217181864384335}, 'LightGBM': {'rmse': 0.48621847951211816, 'r2': 0.5367530148191151}, 'SVM': {'rmse': 0.6741922589465665, 'r2': 0.10932922328312045}, 'Lasso': {'rmse': 0.5482799138417196, 'r2': 0.41094702793698057}, 'Ridge': {'rmse': nan, 'r2': nan}, 'Gradient Boosting': {'rmse': 0.44871601173998693, 'r2': 0.6054583888531972}, 'MLP': {'rmse': 0.5715850955374526, 'r2': 0.3598061889885604}}",,1094
