feature,correlation
prev_gate_count,0.6152583003519064
prev_duration,0.5967387675522228
large_gate_priority,0.4996332879383916
is_large_gate_pattern,0.4996332879383916
ops_week_avg_gates,0.48060769882453863
ops_week_total_duration,0.46732189421243775
ops_week_count,0.46677451603545883
rain_actual_total,0.3930161198324891
rain_actual_avg,0.3930161198324891
rain_actual_嵊州_sum,0.38524070818857326
tide_24h_fall_rate,-0.3837563965711261
water_status_min,-0.3798264878097773
rain_actual_虞北平原_sum,0.3737343277075476
rain_actual_嵊州_mean,0.3712444834826894
rain_actual_虞南山区_sum,0.36912366898420707
rain_actual_绍兴平原_sum,0.3665582716456332
rain_actual_新昌_sum,0.3644897815943669
rain_actual_虞南山区_mean,0.3533834700469072
rain_actual_新昌_mean,0.3503298421037403
rain_actual_虞北平原_mean,0.3466005329956924
future_tide_r_squared,-0.34430988813930563
rain_actual_绍兴平原_mean,0.3352274168484751
tide_24h_rise_rate,-0.322891958650814
tide_24h_cycle_count,-0.31312893174948875
flow_max,0.30899248649375904
tide_12h_cycle_count,-0.303605587999729
flow_mean,0.3019483987687376
hour_cos,0.2970008757885253
flow_range,0.2777315723138379
tide_12h_rise_rate,-0.2736893445110845
flow_var,0.2616963935792337
flow_min,0.2438886030124131
tide_12h_min,0.24311207569076712
tide_type,0.23306136083451978
tide_24h_min,0.2237419151888963
future_tide_range,-0.22207006856209618
water_rain_ratio,-0.2089437744283852
future_tide_max,-0.20714431524383572
water_status_mean,-0.20511392627182595
water_status_max,-0.19843171144898686
water_status_missing,0.19624327239598685
future_tide_slope,-0.19614724863866992
flow_missing,0.19572519341255973
water_missing,0.19309684740244656
future_tide_mean,-0.19147849666795247
future_tide_tide_type,-0.1907705195189245
rain_actual_虞南山区_max,0.1885930126849984
tide_12h_phase,-0.18847008293637732
water_status_range,-0.1811208665066471
tide_24h_r_squared,-0.1805691703989859
tide_24h_phase,-0.1787380173242091
future_tide_phase,-0.17710227365100017
rain_actual_新昌_max,0.17683469551792197
rain_actual_嵊州_max,0.16304024097240707
date,0.16087444773916618
rain_actual_虞北平原_max,0.15777599510264553
flow_skew,-0.1525671140160156
tide_12h_range,-0.15256366413778397
prev_op_hour,-0.15175495745783263
tide_24h_range,-0.14821817558634537
flow_rain_ratio,-0.13742192720463023
rain_actual_绍兴平原_max,0.13618025577935092
tide_12h_tide_type,-0.12339838655308483
tide_24h_max,-0.12272352253221525
tide_12h_max,-0.11856759281134131
tide_12h_fall_rate,-0.10525156077387737
tide_12h_r_squared,-0.0984803308920452
future_tide_min,0.0839042251565242
tide_24h_tide_type,-0.08315030777139655
hour_of_day,0.07840056814666412
tide_12h_slope,-0.06632590272702323
rain_change_rate,0.06439374333698276
is_rush_hour,-0.05766963480797093
hour_sin,-0.05341990623127046
tide_24h_mean,-0.05046661299414694
month,-0.049409013767258016
rain_forecast_新昌_sum,0.04714004207107306
day_of_year,-0.04522625597806435
rain_missing,-0.04260584269845709
is_weekend,0.04210917365208436
tide_12h_mean,-0.033506006920316855
water_status_slope,-0.026485444884355953
rain_forecast_新昌_mean,0.024609772093191058
rain_forecast_虞南山区_mean,0.023891071297613743
rain_forecast_虞南山区_sum,0.02342169294517784
day_of_week,0.02212396897208127
rain_forecast_嵊州_max,-0.019976085431135944
rain_forecast_total,0.019774537142924018
rain_forecast_avg,0.019774537142924018
future_tide_rise_rate,-0.018484310097473616
future_tide_cycle_count,-0.01807860429658443
rain_forecast_虞南山区_max,0.01587243214508195
rain_forecast_嵊州_sum,0.01149731333870081
future_tide_fall_rate,-0.010303136199857373
hour_similar_to_large_gate,0.007483013840645861
rain_forecast_新昌_max,-0.006742378247816838
rain_forecast_虞北平原_max,0.0066316429297442175
rain_forecast_嵊州_mean,0.004242025522504208
rain_forecast_绍兴平原_max,-0.003689620912204307
rain_forecast_虞北平原_sum,-0.0036341696308883208
rain_forecast_绍兴平原_mean,0.003523120532782969
rain_forecast_绍兴平原_sum,-0.0034999594717298453
rain_forecast_虞北平原_mean,-0.0008247086607531161
tide_24h_slope,-0.0008141452793760832
future_water_missing,
large_gate_avg_duration,
tide_similar_to_large_gate,
rain_similar_to_large_gate,
