feature,importance
prev_duration,0.5261485724363053
water_status_min,0.0796201050052587
prev_gate_count,0.06979450163379362
rain_actual_嵊州_mean,0.0334771715702164
day_of_year,0.029489438967924473
date,0.028975714171581103
rain_actual_avg,0.025106493343847378
flow_rain_ratio,0.021643105821524046
rain_actual_虞北平原_sum,0.02049688655166046
ops_week_total_duration,0.019816804491779458
water_rain_ratio,0.01524554693676818
ops_week_avg_gates,0.012271741981695741
tide_24h_fall_rate,0.01038793542085959
rain_actual_total,0.009892029445032757
prev_op_hour,0.009296532669310234
hour_cos,0.007604836838894851
rain_actual_虞南山区_sum,0.007568376849022615
future_tide_r_squared,0.007162978677320995
rain_actual_绍兴平原_mean,0.005862510905703859
water_status_mean,0.005251458954306915
