feature,importance
prev_duration,0.44089954005153115
water_status_min,0.06711278034738977
prev_gate_count,0.04919515757172151
is_large_gate_pattern,0.04843402083077254
large_gate_priority,0.03423174793883083
rain_actual_嵊州_mean,0.026704159610409797
day_of_year,0.026444007817238876
date,0.02446977906716747
ops_week_total_duration,0.02328569366747753
prev_op_hour,0.021238712557119108
ops_week_avg_gates,0.0203768547224766
water_rain_ratio,0.013572269360780286
hour_cos,0.012488405585284053
day_of_week,0.012458225607647876
rain_actual_total,0.012074031687008688
rain_actual_虞北平原_sum,0.010919312070607447
tide_24h_fall_rate,0.008932615850123287
flow_rain_ratio,0.00891384928089814
rain_actual_avg,0.00853873993640472
ops_week_count,0.008371354278643273
