feature,r2_score
prev_gate_count,0.33749290389897957
prev_duration,0.2595690795067487
large_gate_priority,0.21755086748604469
is_large_gate_pattern,0.21755086748604469
ops_week_avg_gates,0.2126916574394736
ops_week_count,0.19066608504462246
ops_week_total_duration,0.1782271463421985
rain_actual_total,0.1659265102700782
rain_actual_avg,0.1659265102700782
rain_actual_嵊州_sum,0.15745868156222198
rain_actual_虞北平原_sum,0.15368555818261442
rain_actual_嵊州_mean,0.1511684785631292
rain_actual_绍兴平原_sum,0.15000109591444133
rain_actual_虞南山区_sum,0.14299753765737833
rain_actual_新昌_sum,0.14217590594433593
rain_actual_虞北平原_mean,0.1380547385342501
rain_actual_虞南山区_mean,0.13649483483722713
rain_actual_新昌_mean,0.13638933569386724
rain_actual_绍兴平原_mean,0.13175791953830052
flow_max,0.10667063525900711
tide_24h_fall_rate,0.09510348102273536
flow_range,0.09417410512990809
flow_mean,0.09335275630246964
hour_cos,0.09180864340775052
water_status_min,0.08169437726188977
future_tide_r_squared,0.07997419858539001
tide_12h_cycle_count,0.070548348506136
flow_var,0.0663305475785314
tide_24h_rise_rate,0.06034162022908185
flow_min,0.056121822478244376
tide_12h_rise_rate,0.05437612117007162
tide_24h_cycle_count,0.05428356978783144
rain_actual_虞南山区_max,0.052318734565121594
rain_actual_新昌_max,0.045608292409890394
rain_actual_嵊州_max,0.04354032658190099
future_tide_slope,0.03812523022050951
rain_actual_虞北平原_max,0.03489115432201206
water_rain_ratio,0.032661348341337715
tide_type,0.031568873824341925
rain_actual_绍兴平原_max,0.031095687997580557
tide_12h_min,0.027526608642688966
future_tide_mean,0.024637807374216725
tide_24h_r_squared,0.023846063431021802
future_tide_range,0.02353627373668299
prev_op_hour,0.022881593296334102
future_tide_max,0.022633239771506997
tide_24h_min,0.019036754404919032
flow_rain_ratio,0.01451204876617096
water_status_mean,0.012177740670209158
water_status_max,0.010464866646231141
future_tide_tide_type,0.010037806096342972
water_status_missing,0.009962185479577057
tide_12h_phase,0.009924318792551623
flow_skew,0.009902714271594948
flow_missing,0.009896565351698472
water_missing,0.009427473769534789
tide_12h_fall_rate,0.008844476648379729
future_tide_phase,0.008370566811954583
tide_24h_phase,0.007853877258079511
water_status_range,0.007331464100760021
tide_12h_slope,0.00535439517489833
date,0.004827540416194043
tide_12h_range,0.004679369303181025
hour_of_day,0.00424375946778055
tide_24h_range,0.003560107646222721
rain_missing,0.0026248835791916614
rain_forecast_新昌_sum,0.0024723777205705177
tide_12h_r_squared,0.0024192406767880037
month,0.0018433621086042518
rain_change_rate,0.0016747858830835627
is_rush_hour,0.0016684023774240497
tide_12h_mean,0.0016634424259536207
day_of_year,0.0014411533637010976
future_tide_min,0.0012762563709304287
tide_12h_max,0.001274847701422166
tide_24h_max,0.0012545809962982712
hour_sin,0.001204620333017714
rain_forecast_新昌_mean,0.0011093680675463569
rain_forecast_虞南山区_mean,0.0010576820374007534
is_weekend,0.0010335211710946757
rain_forecast_虞南山区_sum,0.000985070773579011
tide_12h_tide_type,0.000969268417763125
water_status_slope,0.0009044015167660735
tide_24h_mean,0.0008618183983413186
rain_forecast_avg,0.000689736855502221
rain_forecast_total,0.000689736855502221
day_of_week,0.0005671235258046803
future_tide_rise_rate,0.0004986613186553912
future_tide_cycle_count,0.00047923621629319957
rain_forecast_嵊州_sum,0.0003249101551348055
rain_forecast_虞南山区_max,0.0003116256647676119
future_tide_fall_rate,0.00026763172529742363
rain_forecast_绍兴平原_mean,0.00017123199146173995
rain_forecast_嵊州_mean,0.0001627424744927719
rain_forecast_虞北平原_max,0.00010566969520986458
rain_forecast_新昌_max,8.547297288652445e-05
hour_similar_to_large_gate,5.232886262795944e-05
rain_forecast_虞北平原_mean,4.8640988482118175e-05
rain_forecast_绍兴平原_max,2.081341898363398e-05
tide_24h_tide_type,1.9497167588977682e-05
rain_forecast_绍兴平原_sum,1.7915928169354167e-05
rain_forecast_嵊州_max,1.2691853376378681e-05
rain_forecast_虞北平原_sum,4.018188076826412e-06
tide_24h_slope,3.903026168594614e-06
large_gate_avg_duration,0.0
future_water_missing,0.0
tide_similar_to_large_gate,0.0
rain_similar_to_large_gate,0.0
