feature,r2_score
prev_duration,0.4872926016363641
prev_gate_count,0.46914134852534883
is_large_gate_pattern,0.35335800877366796
large_gate_priority,0.35335800877366796
ops_week_total_duration,0.2556534808946732
ops_week_avg_gates,0.24467585198673059
ops_week_count,0.22585696920104725
rain_actual_avg,0.19935884416599292
rain_actual_total,0.19935884416599292
rain_actual_嵊州_sum,0.19173661956024013
rain_actual_虞北平原_sum,0.18053151163960002
rain_actual_虞南山区_sum,0.17862505214658897
rain_actual_绍兴平原_sum,0.17234772662790565
rain_actual_嵊州_mean,0.17159811780615497
rain_actual_新昌_sum,0.168769296586589
tide_24h_fall_rate,0.1645826419806753
rain_actual_虞南山区_mean,0.1577049578480303
water_status_min,0.15322117214563957
rain_actual_虞北平原_mean,0.14894716204629999
rain_actual_新昌_mean,0.14831643278814566
rain_actual_绍兴平原_mean,0.1384541824432136
flow_max,0.13293051697094327
flow_mean,0.13260298244496727
tide_24h_cycle_count,0.1200640465026016
flow_range,0.10520342167033392
hour_cos,0.10472430046131376
tide_24h_rise_rate,0.10434799676483808
flow_var,0.0986818102399496
future_tide_r_squared,0.0939834046278688
flow_min,0.08587635493816637
tide_12h_cycle_count,0.07602505287857042
tide_type,0.06161386755879705
tide_12h_min,0.05513104267921598
tide_12h_rise_rate,0.05061758755472556
tide_24h_min,0.0476356920914951
tide_24h_r_squared,0.04133364354527158
rain_actual_虞南山区_max,0.04127414777954119
rain_actual_新昌_max,0.04079021830751628
rain_actual_嵊州_max,0.03874536397177908
water_status_mean,0.03832582138107088
water_status_max,0.035685494027848486
future_tide_range,0.035287036273015215
rain_actual_虞北平原_max,0.035049699105195176
water_status_missing,0.034885894978138876
water_missing,0.034225714712524224
flow_skew,0.03360661027270917
flow_missing,0.03339287714096972
prev_op_hour,0.032643307972672786
tide_12h_phase,0.032521316692559754
water_rain_ratio,0.030345487795998327
future_tide_tide_type,0.029527009855576325
tide_24h_phase,0.02943858367173202
water_status_range,0.028851359659121112
future_tide_phase,0.027080643916759572
future_tide_max,0.02574004603068336
rain_actual_绍兴平原_max,0.025655913018900467
date,0.024472510279586857
future_tide_slope,0.02359597043135997
tide_12h_range,0.01816347956633202
future_tide_mean,0.017718972648935072
tide_24h_range,0.016284707664399933
tide_12h_fall_rate,0.01626696706096764
flow_rain_ratio,0.015748449042969126
tide_12h_tide_type,0.014149011718500137
future_tide_min,0.013404490102881916
tide_12h_r_squared,0.012956683707509686
tide_12h_max,0.009720519396721694
tide_24h_max,0.009639823285938709
hour_of_day,0.008132189623605734
future_tide_cycle_count,0.005987166737485894
rain_change_rate,0.0057455293003074726
is_rush_hour,0.005370036874998485
hour_sin,0.0050586028187404875
day_of_year,0.004583807684116148
tide_24h_tide_type,0.004128248436250925
month,0.004011262224471679
future_tide_rise_rate,0.003539419150794698
rain_missing,0.0034637879151971918
rain_forecast_新昌_sum,0.003126608040704637
future_tide_fall_rate,0.00147211148953319
tide_12h_slope,0.001283275856130528
water_status_slope,0.0010721014926738937
is_weekend,0.0005940283304882721
rain_forecast_avg,0.000527216677661646
rain_forecast_total,0.000527216677661646
hour_similar_to_large_gate,0.0004476945954888789
rain_forecast_新昌_mean,0.0004369333227276506
tide_24h_slope,0.00034764210448723354
tide_24h_mean,0.00030729869268897314
rain_forecast_嵊州_max,0.0002431400592651789
rain_forecast_虞南山区_sum,0.00017157042169779757
rain_forecast_虞北平原_max,0.00015514192784260583
rain_forecast_嵊州_sum,0.00013072791696688846
rain_forecast_绍兴平原_max,5.55758649265492e-05
day_of_week,4.226450593092235e-05
rain_forecast_虞南山区_mean,3.293433086370978e-05
tide_12h_mean,3.152007944262625e-05
rain_forecast_嵊州_mean,1.682447260920039e-05
rain_forecast_绍兴平原_mean,1.3142703719881688e-05
rain_forecast_虞北平原_mean,1.245759941803648e-05
rain_forecast_虞北平原_sum,1.1837303829143053e-05
rain_forecast_虞南山区_max,3.2931929112578473e-06
rain_forecast_绍兴平原_sum,2.9354788129154485e-06
rain_forecast_新昌_max,9.483325904557915e-07
future_water_missing,0.0
large_gate_avg_duration,0.0
tide_similar_to_large_gate,0.0
rain_similar_to_large_gate,0.0
