feature,importance
hour_of_day,0.4541474546457938
hour_cos,0.11423908604669492
prev_op_hour,0.07440141358084292
date,0.04726063242777777
hour_sin,0.04044287261959565
day_of_year,0.019798589192032392
water_status_min,0.018667147858321742
ops_week_avg_gates,0.016545656199211785
prev_duration,0.01611913106816657
tide_24h_slope,0.015601270719424286
ops_week_total_duration,0.014527898440189452
ops_week_count,0.012271071308907816
prev_gate_count,0.010438450325844919
day_of_week,0.010411500233773626
tide_12h_slope,0.009982076057250001
future_tide_slope,0.009503028732750975
tide_24h_phase,0.00879397179036152
month,0.00862733047123558
tide_12h_phase,0.006793622036694158
water_rain_ratio,0.004595832737441848
