feature,importance
future_tide_range,12
tide_24h_cycle_count,10
tide_12h_r_squared,7
water_status_mean,7
hour_cos,6
flow_skew,6
future_tide_r_squared,6
prev_gate_count,5
future_tide_min,5
flow_max,5
water_status_min,4
day_of_year,4
ops_week_avg_gates,4
tide_24h_slope,4
rain_actual_虞北平原_sum,3
future_tide_phase,3
flow_range,3
tide_24h_mean,3
rain_actual_新昌_mean,3
rain_actual_total,2
