feature,importance
large_gate_priority,0.2885297386265651
is_large_gate_pattern,0.20920294038691123
prev_duration,0.13361298087761717
prev_gate_count,0.03065864543038149
water_status_min,0.030528357776204794
date,0.02397369883570602
day_of_year,0.02278965771895625
prev_op_hour,0.021564414178565156
ops_week_total_duration,0.020019581971893418
ops_week_avg_gates,0.018778791577250292
hour_cos,0.011402366304049534
day_of_week,0.010863725271518203
water_rain_ratio,0.009947539123698994
ops_week_count,0.009484731935615954
flow_rain_ratio,0.009279341320783195
rain_actual_avg,0.009029286366906778
hour_of_day,0.008563613883779596
hour_sin,0.00669300737090722
rain_actual_total,0.006509966557125332
water_status_mean,0.005732549737453907
