feature,importance
hour_of_day,0.312672
day_of_week,0.12765783
hour_cos,0.0925334
future_tide_range,0.09131365
water_rain_ratio,0.06445225
prev_gate_count,0.060413267
future_tide_slope,0.060363166
flow_mean,0.025614465
tide_12h_slope,0.024117298
prev_op_hour,0.02285357
month,0.02067387
tide_24h_cycle_count,0.017532423
tide_24h_max,0.016551834
date,0.011545783
water_status_max,0.008790466
tide_24h_rise_rate,0.004875414
rain_actual_绍兴平原_max,0.004422051
rain_actual_绍兴平原_sum,0.0042423937
hour_sin,0.0041356413
day_of_year,0.0037325418
