feature,importance
prev_gate_count,0.2801374290330726
prev_duration,0.09628188998771266
water_status_min,0.0786146210381884
large_gate_priority,0.04957123414013049
flow_rain_ratio,0.04669332377281452
ops_week_total_duration,0.042719364232061005
rain_actual_avg,0.03859213381306694
is_large_gate_pattern,0.03811816125235637
date,0.02724268435808179
day_of_year,0.025206426013428592
future_tide_r_squared,0.02227396832320147
future_tide_slope,0.017298155161688422
tide_24h_rise_rate,0.016578142204246814
rain_actual_虞南山区_mean,0.016167814085582
prev_op_hour,0.015304584459459746
ops_week_avg_gates,0.012997050166728617
water_rain_ratio,0.011797167167906724
hour_cos,0.011494418779939824
tide_12h_rise_rate,0.010862534479527893
water_status_range,0.00956475377944946
