feature,importance
prev_duration,0.5357962202728711
water_status_min,0.0627505168030748
rain_actual_嵊州_mean,0.05179143619321737
water_rain_ratio,0.027193789909251333
day_of_year,0.025858739151217443
date,0.024306720625231523
ops_week_total_duration,0.02303374612778267
prev_gate_count,0.01738784692868373
rain_actual_虞北平原_sum,0.015989160499567473
rain_actual_虞南山区_sum,0.014115213201146571
ops_week_avg_gates,0.013344428669078777
ops_week_count,0.012152943109598918
tide_24h_rise_rate,0.010699831036667678
flow_rain_ratio,0.009943575471504382
rain_actual_avg,0.008065438654076863
prev_op_hour,0.0074842201923957866
flow_mean,0.0074276971920525965
tide_12h_r_squared,0.00700489342321604
hour_cos,0.006654031523695477
rain_actual_total,0.006633580649109182
