feature,importance
prev_duration,0.317105227617971
water_status_min,0.09616911030104218
prev_gate_count,0.06894904475953541
day_of_year,0.04593918303732122
date,0.03511588261096028
ops_week_avg_gates,0.031079440344947837
prev_op_hour,0.02647449586991724
water_rain_ratio,0.024063900286184874
ops_week_total_duration,0.02353962399244563
flow_rain_ratio,0.018251225463868148
day_of_week,0.01692232140578879
hour_cos,0.013206565426041499
rain_actual_avg,0.012559807583827826
ops_week_count,0.012232779695745289
hour_sin,0.008724062423762505
future_tide_r_squared,0.00860113549979233
hour_of_day,0.00856005688227458
rain_actual_total,0.008448522912813379
rain_actual_嵊州_mean,0.00822253337183039
rain_actual_新昌_sum,0.008209535370521926
