feature,importance
water_status_mean,0.18553560822722825
date,0.13648830749672103
prev_duration,0.09317641855101337
water_status_range,0.07954157548625684
tide_24h_mean,0.06654920757695224
water_status_min,0.05569715992242537
tide_24h_range,0.03862371417764055
water_status_max,0.028088267168217607
flow_mean,0.020247899693713326
prev_gate_count,0.02022380979014232
tide_24h_cycle_count,0.019330625978555446
rain_forecast_嵊州_max,0.01923573456799242
rain_actual_total,0.01737380739797733
tide_12h_mean,0.013059392513302905
tide_24h_max,0.012904379599450297
rain_actual_绍兴平原_sum,0.011096044169189368
tide_24h_rise_rate,0.011007090001565181
water_status_slope,0.010944119391522403
ops_week_total_duration,0.010650116023156249
rain_forecast_虞南山区_sum,0.010216742000026393
