feature,r2_score
hour_of_day,0.9551593984525487
hour_sin,0.866477325590249
hour_cos,0.25689540083132156
tide_12h_range,0.21480878376262402
tide_12h_max,0.20739549132365676
tide_12h_mean,0.18498518468781944
water_status_range,0.15156362464593054
tide_24h_slope,0.15045101789206405
tide_12h_slope,0.1158496238475265
water_status_max,0.11057137703674103
water_status_min,0.10097929710844777
rain_forecast_绍兴平原_max,0.090466999349606
hour_similar_to_large_gate,0.08781678824578354
prev_op_hour,0.07530541914449551
tide_12h_rise_rate,0.06684342331203463
tide_12h_fall_rate,0.06589974994194125
future_tide_min,0.06294655764798995
tide_24h_r_squared,0.056878496710447646
rain_forecast_虞南山区_max,0.05642079420756729
is_large_gate_pattern,0.05587722120479677
large_gate_priority,0.05587722120479677
flow_rain_ratio,0.05460018944662681
future_tide_rise_rate,0.049930599437234435
tide_12h_tide_type,0.048231500834427066
tide_12h_cycle_count,0.048231500834427066
flow_range,0.046494990701174244
rain_change_rate,0.045901453956394334
rain_forecast_嵊州_max,0.044895361511413046
water_rain_ratio,0.04254524969214657
flow_skew,0.04157739891620149
future_tide_fall_rate,0.04047364988543101
tide_12h_min,0.03958934765214872
rain_forecast_新昌_mean,0.03926572362495406
day_of_year,0.039074641493015205
rain_actual_绍兴平原_sum,0.03407044332128284
rain_actual_total,0.033004423579303555
rain_actual_avg,0.033004423579303444
rain_actual_嵊州_sum,0.03267083301726237
rain_actual_新昌_sum,0.03262577447010839
flow_max,0.03204155314424573
rain_actual_新昌_mean,0.03135010700749641
flow_mean,0.030854995068251956
rain_forecast_新昌_max,0.02947470614740033
rain_actual_嵊州_mean,0.029344591611771498
rain_actual_虞南山区_sum,0.027331386693992266
tide_24h_mean,0.0258116026013121
ops_week_avg_gates,0.02428651266094084
rain_actual_虞南山区_mean,0.02408776942559565
rain_actual_虞北平原_sum,0.02304011803577244
rain_actual_绍兴平原_mean,0.02251241629929901
rain_forecast_虞北平原_max,0.022244995496823128
rain_actual_虞北平原_mean,0.02045710952541535
day_of_week,0.020019749630948658
rain_actual_嵊州_max,0.019595292467848857
future_tide_mean,0.019192397472483025
ops_week_count,0.01890367650719882
tide_24h_max,0.018463430589142016
rain_actual_虞南山区_max,0.018439876360536456
month,0.01814676193716691
tide_24h_min,0.017875554149909156
flow_var,0.016817546086126733
water_status_mean,0.01456379983688083
rain_forecast_嵊州_mean,0.014328838124684551
prev_duration,0.013651916671691522
tide_24h_range,0.012905981095986396
prev_gate_count,0.010864503705011685
tide_12h_r_squared,0.01019353718381466
future_tide_slope,0.009434078197741114
ops_week_total_duration,0.008701305948609628
rain_forecast_绍兴平原_mean,0.008354550084795576
tide_24h_phase,0.008254004967421347
rain_forecast_虞南山区_mean,0.008173256286503228
is_rush_hour,0.007904691583854873
rain_actual_绍兴平原_max,0.007850441810680397
tide_12h_phase,0.006983721932428022
future_tide_range,0.006584107957174012
future_tide_r_squared,0.006131001403778424
future_tide_tide_type,0.005123722079740767
tide_24h_rise_rate,0.0033072128697911873
rain_forecast_虞南山区_sum,0.00252316274588682
rain_forecast_嵊州_sum,0.0024852209175040274
tide_24h_tide_type,0.0020001677222307723
tide_type,0.0020001677222307723
water_status_slope,0.0018828150321508197
rain_actual_虞北平原_max,0.0017097339161881164
rain_forecast_虞北平原_mean,0.0015769001885650447
future_tide_phase,0.0015258915033599108
rain_forecast_绍兴平原_sum,0.0012550872861702977
date,0.0010509556462011682
rain_forecast_新昌_sum,0.001038283844267851
future_tide_max,0.0010083292476276151
flow_min,0.000631786838951709
is_weekend,0.0005132995695726894
future_tide_cycle_count,0.0002603967752465852
rain_actual_新昌_max,0.00011731587783092579
tide_24h_cycle_count,7.871422520311366e-05
rain_forecast_avg,3.1260704124180805e-05
rain_forecast_total,3.1260704124180805e-05
tide_24h_fall_rate,1.4606603995659384e-05
rain_forecast_虞北平原_sum,9.9498144449095e-06
flow_missing,0.0
water_status_missing,0.0
tide_similar_to_large_gate,0.0
large_gate_avg_duration,0.0
water_missing,0.0
rain_missing,0.0
rain_similar_to_large_gate,0.0
future_water_missing,0.0
