feature,importance
date,0.16321467762366076
water_status_mean,0.1631683721496959
water_status_min,0.10677678766288283
water_status_range,0.07091436897174248
tide_24h_mean,0.04949712508104649
rain_forecast_嵊州_max,0.04867818668194734
water_status_max,0.04866955584130067
prev_duration,0.04849476890852964
rain_actual_新昌_sum,0.029473586333971402
tide_24h_max,0.02031273401572466
rain_actual_avg,0.020100670065349654
ops_week_total_duration,0.01996956875395152
tide_24h_range,0.019875677902215505
tide_24h_fall_rate,0.019704189234636082
flow_skew,0.019658260942315778
future_tide_range,0.019300745733747893
tide_12h_mean,0.018014571651316615
flow_mean,0.017438595525209686
rain_actual_嵊州_sum,0.011608072866730582
future_tide_max,0.01012377392078327
