,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,2.0
4,1.0,1.0,1.0,1.0
accuracy,0.2,0.2,0.2,0.2
macro avg,0.2,0.2,0.2,5.0
weighted avg,0.2,0.2,0.2,5.0
