feature,r2_score
date,0.63101751870636
prev_duration,0.5972866523893896
water_status_min,0.578884188270294
rain_actual_嵊州_sum,0.5543981661864528
rain_actual_新昌_mean,0.5536874373053684
tide_24h_cycle_count,0.552260175905093
rain_actual_新昌_sum,0.5460428818063215
water_status_range,0.5448671218765222
rain_actual_嵊州_mean,0.5214131594660402
rain_actual_total,0.5060522441068946
rain_actual_avg,0.5060522441068946
rain_actual_虞南山区_sum,0.49542778368624063
rain_actual_虞南山区_mean,0.4843657126536387
is_large_gate_pattern,0.47713218411133174
large_gate_priority,0.4771321841113315
rain_actual_虞北平原_sum,0.42413033488373464
tide_24h_mean,0.41435306322586984
rain_actual_虞北平原_mean,0.39538700903638646
prev_gate_count,0.3917006946339814
tide_24h_max,0.36840308416235445
flow_range,0.32936992451780134
tide_24h_fall_rate,0.3192337628179318
tide_12h_tide_type,0.3146035873952773
tide_12h_cycle_count,0.3146035873952773
tide_24h_range,0.2967843516875839
future_tide_r_squared,0.29048495901872196
flow_var,0.28804864352676507
flow_max,0.28418345865864414
rain_actual_绍兴平原_sum,0.284129141803136
tide_12h_mean,0.26857635907552035
rain_forecast_嵊州_max,0.2566478340670497
ops_week_avg_gates,0.24167612335714117
flow_mean,0.24017148740077043
hour_similar_to_large_gate,0.23776834385489376
rain_forecast_新昌_max,0.22184550896265443
tide_12h_rise_rate,0.21627383823854174
tide_24h_rise_rate,0.2154348533635545
day_of_year,0.20579354630833835
rain_actual_绍兴平原_mean,0.19738532412537613
tide_12h_max,0.1906596186358116
water_status_slope,0.18450823560773455
rain_forecast_绍兴平原_mean,0.17963973544898948
rain_forecast_绍兴平原_max,0.15962652258449983
tide_24h_min,0.15656449384590687
tide_12h_phase,0.15623524329400096
tide_24h_r_squared,0.14965301418648325
water_status_max,0.1467503216179511
tide_12h_range,0.13256006518364005
rain_forecast_虞北平原_mean,0.13154311521987783
rain_actual_虞南山区_max,0.1270895994490101
month,0.1251925010362318
rain_forecast_绍兴平原_sum,0.11961877992693182
water_status_mean,0.11826400471671439
day_of_week,0.1010028493358417
rain_forecast_虞南山区_max,0.09208549467113503
rain_forecast_嵊州_mean,0.0915802564862861
hour_cos,0.08464944589880519
future_tide_min,0.08292806765252092
rain_actual_新昌_max,0.08101188938440484
is_rush_hour,0.07463735749975997
rain_forecast_虞北平原_sum,0.07219474086823685
water_rain_ratio,0.07047078542032903
is_weekend,0.06953711327034395
ops_week_total_duration,0.06857568996828045
tide_type,0.06564486171767836
tide_24h_tide_type,0.06564486171767836
rain_forecast_虞北平原_max,0.06531789894340889
rain_forecast_虞南山区_mean,0.06492572033085031
tide_12h_slope,0.05683758208426748
ops_week_count,0.05665945814548612
tide_24h_phase,0.05592976272281569
rain_forecast_total,0.05280712934909659
rain_forecast_avg,0.05280712934909659
rain_actual_嵊州_max,0.04749702720757121
future_tide_tide_type,0.04582221777358064
flow_rain_ratio,0.044878659543126864
rain_change_rate,0.042021772232449295
rain_forecast_嵊州_sum,0.04116842648186936
rain_forecast_新昌_mean,0.04082558233544098
rain_forecast_虞南山区_sum,0.03951238963590875
future_tide_slope,0.038215327045542646
future_tide_range,0.03726013565553277
tide_12h_r_squared,0.023959983836943866
rain_actual_虞北平原_max,0.01855897885489466
future_tide_rise_rate,0.016920301904084667
future_tide_mean,0.015378025901903958
flow_skew,0.013872688751295659
hour_of_day,0.013418559355260817
flow_min,0.013023967941712455
hour_sin,0.007287252294940538
tide_24h_slope,0.005686949949543552
tide_12h_fall_rate,0.00492057462515938
future_tide_max,0.004136392823843482
rain_forecast_新昌_sum,0.0037320432470576703
future_tide_cycle_count,0.0033905073585990264
future_tide_fall_rate,0.002471650690684557
future_tide_phase,0.0024431786583819504
rain_actual_绍兴平原_max,0.0019953602336080234
tide_12h_min,0.0009590268813307601
prev_op_hour,0.00019349240415100777
flow_missing,0.0
water_status_missing,0.0
rain_similar_to_large_gate,0.0
tide_similar_to_large_gate,0.0
large_gate_avg_duration,0.0
water_missing,0.0
rain_missing,0.0
future_water_missing,0.0
