feature,importance
date,0.4192263021138352
water_status_range,0.19224466912580554
tide_24h_mean,0.17511860250363084
tide_12h_range,0.03181083263686472
rain_forecast_虞北平原_mean,0.030512805743261286
tide_24h_phase,0.028645396524448367
water_status_slope,0.02271018101642051
ops_week_total_duration,0.018509302674787752
rain_forecast_虞北平原_sum,0.014970911057564812
rain_forecast_嵊州_max,0.013628925605301101
water_status_mean,0.007056259255803972
rain_forecast_total,0.006923538251915371
tide_12h_slope,0.006253859254289114
future_tide_phase,0.005653904322412236
rain_actual_绍兴平原_mean,0.003515346874472546
rain_actual_嵊州_sum,0.0025724206697618802
rain_actual_虞北平原_mean,0.0021866257805298146
rain_forecast_avg,0.0019704481912842377
rain_forecast_嵊州_mean,0.001799844628092163
water_status_min,0.001750707404251083
