feature,importance
tide_24h_mean,0.2548023836449012
tide_24h_range,0.2408088463315079
tide_24h_max,0.1844882285923291
tide_12h_range,0.126265600631812
hour_of_day,0.08011723498831179
rain_forecast_虞北平原_sum,0.021645743721425664
water_status_mean,0.01806740208421271
ops_week_count,0.009837149241896825
rain_forecast_绍兴平原_mean,0.008116655168242719
ops_week_total_duration,0.006839725503248257
rain_forecast_嵊州_sum,0.005227296232197706
rain_forecast_虞南山区_sum,0.0052080567770088635
rain_forecast_虞南山区_max,0.004420496536179602
rain_forecast_嵊州_max,0.004154948540747385
flow_mean,0.004106829247774609
rain_forecast_虞北平原_mean,0.003689747999388568
rain_forecast_虞南山区_mean,0.003439294664465659
rain_actual_新昌_mean,0.00332580508709215
water_status_slope,0.0026939021205446578
future_tide_mean,0.0022448088591224625
