feature,importance
date,0.3929886873820215
tide_24h_mean,0.32156189927267254
water_status_range,0.1632703020209731
ops_week_total_duration,0.04332736909598578
rain_forecast_total,0.0234930902646784
tide_12h_phase,0.01792317943667513
water_status_min,0.010961004354727659
tide_24h_phase,0.0063929948132977095
flow_rain_ratio,0.0029051584161249493
rain_forecast_虞南山区_sum,0.0024324401844236167
hour_similar_to_large_gate,0.002309865142166525
rain_forecast_嵊州_max,0.0019745148033663115
tide_12h_mean,0.0018770083976416636
rain_forecast_绍兴平原_mean,0.0015048987804775333
rain_forecast_绍兴平原_sum,0.0012978348102724742
tide_12h_range,0.0008295143650283093
rain_forecast_嵊州_mean,0.0005688417552766989
rain_forecast_虞南山区_max,0.000508165990221428
tide_12h_min,0.0004945455643893161
rain_forecast_avg,0.0004231669539316216
