feature,importance
hour_of_day,0.6808589
tide_12h_range,0.12332838
tide_24h_range,0.096410245
rain_forecast_新昌_sum,0.08342086
tide_12h_mean,0.0041559725
ops_week_count,0.003083319
rain_actual_虞北平原_mean,0.0026700138
future_tide_mean,0.0023685438
tide_12h_r_squared,0.0020706796
future_tide_slope,0.00057824585
tide_24h_slope,0.00032774764
rain_forecast_虞北平原_sum,0.00032047907
rain_forecast_绍兴平原_mean,0.00011787691
tide_24h_r_squared,6.542362e-05
future_tide_phase,6.356424e-05
rain_actual_虞南山区_sum,3.6853926e-05
tide_12h_max,2.5967276e-05
day_of_year,2.3619636e-05
tide_12h_slope,1.8604345e-05
rain_forecast_虞北平原_mean,1.8227876e-05
