feature,importance
date,0.16078898027814909
water_status_mean,0.14715849117050375
water_status_min,0.10294200274466571
water_status_range,0.07214769859228447
tide_24h_mean,0.05485212937869314
rain_forecast_嵊州_max,0.04872322124594095
prev_duration,0.04645704507747939
water_status_max,0.045165275135304515
rain_actual_新昌_sum,0.028780258234563375
tide_24h_max,0.019750501579502387
tide_24h_range,0.019470107443967093
tide_24h_fall_rate,0.018947405109150585
rain_actual_avg,0.018851509922070006
future_tide_range,0.018728080923392797
tide_12h_mean,0.01835669688313998
flow_mean,0.017965737602909173
flow_skew,0.01131274175749373
rain_actual_虞北平原_mean,0.010638596061298097
rain_actual_嵊州_mean,0.010126707107680344
future_tide_max,0.01004332792974422
